Index,Force [ kN ],Déplacement [ mm ]
1,1.62744145200122E-05,-0.171566605567932
2,8.13720689620823E-05,-0.170928508043289
3,0.000227841796004213,-0.173108652234077
4,0.000504506810102612,-0.170157492160797
5,0.000911367184016854,-0.169785261154175
6,0.00136705080512911,-0.172497153282166
7,0.00190410646609962,-0.169094011187553
8,0.00262018060311675,-0.170609474182129
9,0.0036291943397373,-0.168695196509361
10,0.00483350083231926,-0.168668612837791
11,0.00571231916546822,-0.168828129768372
12,0.00631447276100516,-0.170901924371719
13,0.00701427226886153,-0.170210659503937
14,0.00802328623831272,-0.169226944446564
15,0.00924386736005545,-0.168987661600113
16,0.010106410831213,-0.170157492160797
17,0.0107085648924112,-0.16829639673233
18,0.0113920895382762,-0.167897582054138
19,0.0124011039733887,-0.166993618011475
20,0.0136542329564691,-0.167419016361237
21,0.0145493261516094,-0.165371805429459
22,0.0151189304888248,-0.166063070297241
23,0.0157536324113607,-0.16555792093277
24,0.0166324507445097,-0.164122208952904
25,0.0178042091429234,-0.166302353143692
26,0.0187643989920616,-0.166328951716423
27,0.0193665530532599,-0.163909524679184
28,0.0200012549757957,-0.163643643260002
29,0.0208637993782759,-0.164441257715225
30,0.0220518317073584,-0.162261113524437
31,0.0231422167271376,-0.166940450668335
32,0.0237769186496735,-0.166780918836594
33,0.0243790727108717,-0.16053295135498
34,0.025209067389369,-0.162261113524437
35,0.0264133736491203,-0.162526994943619
36,0.0275037605315447,-0.161968663334847
37,0.0281547363847494,-0.163404360413551
38,0.0287406146526337,-0.163457542657852
39,0.0295217875391245,-0.161596432328224
40,0.0306121725589037,-0.159070670604706
41,0.031702559441328,-0.162447229027748
42,0.0323698110878468,-0.162500396370888
43,0.0329394154250622,-0.161649614572525
44,0.0336229391396046,-0.160772234201431
45,0.0345994047820568,-0.162473812699318
46,0.0358525328338146,-0.161144465208054
47,0.0367801748216152,-0.161782547831535
48,0.0373660549521446,-0.160931766033173
49,0.0380333065986633,-0.161144465208054
50,0.0389609485864639,-0.158565506339073
51,0.0401327051222324,-0.158273056149483
52,0.0409952476620674,-0.158166706562042
53,0.0415485799312592,-0.159230187535286
54,0.0421507321298122,-0.156598061323166
55,0.0429807268083096,-0.157262742519379
56,0.0441524870693684,-0.15774130821228
57,0.0452265962958336,-0.159389704465866
58,0.0458613000810146,-0.157129809260368
59,0.0464146286249161,-0.157422259449959
60,0.0471632517874241,-0.157395675778389
61,0.0482048131525517,-0.158538922667503
62,0.0493928454816341,-0.15771472454071
63,0.0501902922987938,-0.156996876001358
64,0.0507761724293232,-0.156092911958694
65,0.0514922477304935,-0.156598061323166
66,0.0525175333023071,-0.154258400201797
67,0.0537218414247036,-0.154550850391388
68,0.0544867366552353,-0.154550850391388
69,0.0550075210630894,-0.152929037809372
70,0.0556584969162941,-0.15500283241272
71,0.0565698631107807,-0.156385362148285
72,0.0577741712331772,-0.154338166117668
73,0.0587669089436531,-0.155321881175041
74,0.0593690611422062,-0.156225845217705
75,0.0599549412727356,-0.154338166117668
76,0.0607361122965813,-0.154444500803947
77,0.0618264973163605,-0.154604032635689
78,0.0628843382000923,-0.153088569641113
79,0.0635841339826584,-0.150456443428993
80,0.0641374662518501,-0.153221502900124
81,0.0649023652076721,-0.151200875639915
82,0.0659764781594276,-0.149233430624008
83,0.0671319589018822,-0.149844944477081
84,0.0678643062710762,-0.151360407471657
85,0.0684013590216637,-0.149313196539879
86,0.069036066532135,-0.146282270550728
87,0.0699474290013313,-0.146627902984619
88,0.0711517408490181,-0.149127081036568
89,0.0721282064914703,-0.148435816168785
90,0.0726978108286858,-0.147930666804314
91,0.0732999593019485,-0.144554108381271
92,0.0741299539804459,-0.147611618041992
93,0.075285442173481,-0.142693012952805
94,0.0763270035386086,-0.145936638116837
95,0.0769454315304756,-0.145511239767075
96,0.077515035867691,-0.142693012952805
97,0.0782962068915367,-0.141177535057068
98,0.0794354155659676,-0.142187848687172
99,0.0806071758270264,-0.142054915428162
100,0.0813232436776161,-0.140246987342834
101,0.0818603038787842,-0.144314825534821
102,0.0825600996613503,-0.141496583819389
103,0.0835365653038025,-0.140060886740685
104,0.0846757739782333,-0.139981120824814
105,0.085456945002079,-0.137933909893036
106,0.0859940052032471,-0.139130339026451
107,0.0866124331951141,-0.134318068623543
108,0.0874749720096588,-0.1336799710989
109,0.0886467322707176,-0.134876400232315
110,0.0896882936358452,-0.132217690348625
111,0.0903067216277123,-0.129426032304764
112,0.0909088775515556,-0.12822961807251
113,0.0917388722300529,-0.128867715597153
114,0.0928780809044838,-0.12849548459053
115,0.093968465924263,-0.126634389162064
116,0.094619445502758,-0.12557090818882
117,0.0951402261853218,-0.125384792685509
118,0.0958400219678879,-0.124720118939877
119,0.0968327671289444,-0.120864987373352
120,0.0980045199394226,-0.121689192950726
121,0.0988019704818726,-0.118339218199253
122,0.09933902323246,-0.118870958685875
123,0.0999737232923508,-0.116584464907646
124,0.100885093212128,-0.115095585584641
125,0.10207312554121,-0.115069001913071
126,0.103098414838314,-0.112596400082111
127,0.103716842830181,-0.112835682928562
128,0.104318991303444,-0.112516641616821
129,0.105132713913918,-0.110230147838593
130,0.106255650520325,-0.105497643351555
131,0.107313483953476,-0.107358738780022
132,0.107948191463947,-0.105311535298824
133,0.108485244214535,-0.103211149573326
134,0.109217591583729,-0.104673445224762
135,0.110226608812809,-0.0994091928005219
136,0.111398361623287,-0.0997548252344131
137,0.112195812165737,-0.0972024649381638
138,0.112732864916325,-0.0966441333293915
139,0.113318748772144,-0.0913001298904419
