S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Valeur de consigne[];C_1_Virtual Channel LX[];C_1_Virtual Channel LE[];C_1_Cycles[];C_1_Valeur de commande[%];C_1_Déplacement[mm]
331.0;3.31001855999966;0.362063229084015;0.0208000000566244;0.401979774236679;200.0;100.0;0.0;5.62755391001701;0.400529593229294
341.0;3.41004288000022;0.370039373636246;0.0219999998807907;0.410315126180649;200.0;100.0;0.0;3.3987857401371;0.408992290496826
351.0;3.51006719999987;0.37931826710701;0.023700000718236;0.418650448322296;200.0;100.0;0.0;3.17208915948868;0.417275965213776
361.0;3.61009151999951;0.387134879827499;0.025000000372529;0.426985800266266;200.0;100.0;0.0;5.77557422220707;0.425315529108047
371.0;3.71011584000007;0.396307408809662;0.0263000000268221;0.435321122407913;200.0;100.0;0.0;7.72615447640419;0.433615475893021
381.0;3.81001727999956;0.404389888048172;0.0276999995112419;0.443646222352982;200.0;100.0;0.0;9.15546417236328;0.441915452480316
391.0;3.91004160000011;0.41451957821846;0.0293000005185604;0.451981544494629;200.0;100.0;0.0;9.49038341641426;0.450378119945526
401.0;4.01006591999976;0.426084995269775;0.0318000018596649;0.460316896438599;200.0;100.0;0.0;8.06467980146408;0.458954751491547
411.0;4.11009023999941;0.437278151512146;0.034000001847744;0.468652218580246;200.0;100.0;0.0;5.68519905209541;0.467336088418961
421.0;4.21011455999997;0.4436856508255;0.0373999997973442;0.476987570524216;200.0;100.0;0.0;2.82083563506603;0.475668579339981
431.0;4.31001599999945;0.452512562274933;0.0405000001192093;0.485312640666962;200.0;100.0;0.0;2.04440988600254;0.48390343785286
441.0;4.41004032000001;0.462589085102081;0.0436000004410744;0.493647992610931;200.0;100.0;0.0;6.65275081992149;0.491731435060501
451.0;4.51006463999965;0.471123546361923;0.0476000010967255;0.501983344554901;200.0;100.0;0.0;8.81803259253502;0.500031352043152
461.0;4.61008896000021;0.481200039386749;0.0507999993860722;0.510318636894226;200.0;100.0;0.0;9.08295214176178;0.508461534976959
471.0;4.71011327999986;0.487634122371674;0.0548000000417233;0.518653988838196;200.0;100.0;0.0;9.26038175821304;0.51697301864624
481.0;4.81001472000025;0.4997578561306;0.0575000010430813;0.526979088783264;200.0;100.0;0.0;7.01752975583076;0.525582194328308
