S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déplacement[mm]
139;13.90006272;8.434971809;0.938057244
140;14.00008704;8.503726006;0.945494652
141;14.10011136;8.542410851;0.951874197
142;14.2000128;8.604863167;0.959067523
143;14.30003712;8.642935753;0.965414524
144;14.40006144;8.705256462;0.972607791
145;14.50008576;8.749949455;0.979117572
146;14.60011008;8.802512169;0.986034214
147;14.70001152;8.849464417;0.992560267
148;14.80003584;8.902639389;0.999590814
149;14.90006016;8.958126068;1.00637722
150;15.00008448;9.000000954;1.013098598
151;15.1001088;9.060300827;1.019982576
152;15.20001024;9.102174759;1.026557446
153;15.30003456;9.161704063;1.033441544
154;15.40005888;9.199617386;1.039869905
155;15.5000832;9.256300926;1.046607614
156;15.60010752;9.298467636;1.053117275
157;15.70000896;9.351589203;1.059675932
158;15.80003328;9.397079468;1.066234469
159;15.9000576;9.44844532;1.072711706
160;16.00008192;9.497073174;1.079530716
161;16.10010624;9.549104691;1.085926533
162;16.20000768;9.601799965;1.092761755
163;16.300032;9.642690659;1.099125147
164;16.40005632;9.70450592;1.106155634
165;16.50008064;9.746726036;1.112649083
166;16.60010496;9.798916817;1.119370461
167;16.7000064;9.841960907;1.125733733
168;16.80003072;9.898831367;1.132585287
169;16.90005504;9.935281754;1.138720751
170;17.00007936;9.996273041;1.145735025
171;17.10010368;10.03038406;1.151772857
172;17.20000512;10.1017704;1.159161448
173;17.30002944;10.13699818;1.165280581
174;17.40005376;10.20407772;1.172604084
175;17.50007808;10.23220634;1.178544283
176;17.6001024;10.30452347;1.185867786
177;17.70000384;10.33847523;1.192052007
178;17.80002816;10.4015131;1.199163914
179;17.90005248;10.44636536;1.205689907
180;18.0000768;10.50754261;1.212687969
181;18.10010112;10.55274105;1.219311595
182;18.20000256;10.60280418;1.226114392
183;18.30002688;10.66291809;1.232965827
184;18.4000512;10.70633411;1.23973608
185;18.50007552;10.76581001;1.24647367
186;18.60009984;10.80175591;1.253048539
187;18.70000128;10.85944939;1.259704709
188;18.8000256;10.90103149;1.26629591
189;18.90004992;10.9545784;1.27295208
190;19.00007424;11.01299;1.280080318
191;19.10009856;11.09267139;1.288331389
192;19.2;11.17091751;1.297005653
193;19.30002432;11.24328709;1.305891514
194;19.40004864;11.3143549;1.314972639
195;19.50007296;11.38191223;1.324297905
196;19.60009728;11.44861984;1.333802104
197;19.7001216;11.52917862;1.343680739
198;19.80002304;11.6113596;1.353689432
199;19.90004736;11.68766403;1.363502979
200;20.00007168;11.75157928;1.373170018
201;20.100096;11.81709003;1.382625341
202;20.20012032;11.89387417;1.392650485
203;20.30002176;11.98315334;1.403017282
204;20.40004608;12.04698849;1.412960887
205;20.5000704;12.11635494;1.422839522
206;20.60009472;12.19545174;1.433173776
207;20.70011904;12.2812748;1.443540573
208;20.80002048;12.34542942;1.453370333
209;20.9000448;12.4178791;1.46341157
210;21.00006912;12.49793243;1.47364819
211;21.10009344;12.57522106;1.483835936
212;21.20011776;12.63233089;1.493421555
213;21.3000192;12.70741272;1.503414154
214;21.40004352;12.7891674;1.513569355
215;21.50006784;12.85810852;1.523561835
216;21.60009216;12.92215633;1.533228874
217;21.70011648;12.99298477;1.542977214
218;21.80001792;13.07072544;1.553002238
219;21.90004224;13.15019417;1.56301105
220;22.00006656;13.21650219;1.572775602
221;22.10009088;13.2777319;1.582068324
222;22.2001152;13.34023857;1.59147501
223;22.30001664;13.40891266;1.600946665
224;22.40004096;13.48649406;1.610613704
225;22.50006528;13.55604649;1.619971395
226;22.6000896;13.63256359;1.629443169
227;22.70011392;13.69887161;1.638817191
228;22.80001536;13.76318645;1.647979736
229;22.90003968;13.82625103;1.657028317
230;23.000064;13.8870554;1.666125655
231;23.10008832;13.95158195;1.675158024
232;23.20011264;14.01597595;1.684076309
233;23.30001408;14.07885456;1.693108678
234;23.4000384;14.14138794;1.701880574
235;23.50006272;14.2059679;1.710815191
236;23.60008704;14.27224922;1.719668508
237;23.70011136;14.33866405;1.728652
238;23.8000128;14.39744759;1.7372123
239;23.90003712;14.46625519;1.746065617
240;24.00006144;14.53083515;1.754707336
241;24.10008576;14.59528255;1.763462901
242;24.20011008;14.66220188;1.772153497
243;24.30001152;14.71673203;1.780567408
244;24.40003584;14.77793598;1.788948655
245;24.50006016;14.8283453;1.797118425
246;24.60008448;14.87670708;1.805174232
247;24.7001088;14.93320465;1.813295245
248;24.80001024;14.99860859;1.821595192
249;24.90003456;15.06321526;1.829732418
250;25.00005888;15.1111784;1.837413907
251;25.1000832;15.14667225;1.844721079
252;25.20010752;15.2187767;1.852874637
253;25.30000896;15.27575302;1.860425949
254;25.40003328;15.31249619;1.867651701
255;25.5000576;15.37045574;1.875235677
256;25.60008192;15.43947601;1.883096218
257;25.70010624;15.46725941;1.88985002
258;25.80000768;15.52125835;1.897206068
259;25.900032;15.57958984;1.904415607
260;26.00005632;15.609128;1.910990477
261;26.10008064;15.6773777;1.918379068
262;26.20010496;15.69612122;1.924400687
263;26.3000064;15.76657677;1.931626439
264;26.40003072;15.78649044;1.937599182
265;26.50005504;15.85620213;1.944662333
266;26.60007936;15.88789368;1.950814009
267;26.70010368;15.93689442;1.957372546
268;26.80000512;15.9793539;1.963784695
269;26.90002944;16.01091194;1.969724894
270;27.00005376;16.06860733;1.976364851
271;27.10007808;16.09274673;1.982109666
272;27.2001024;16.1393013;1.988180041
273;27.30000384;16.19375229;1.994543314
274;27.40002816;16.20882607;1.999816298
275;27.50005248;16.24900055;2.005642414
276;27.6000768;16.30775642;2.011794329
277;27.70010112;16.33027649;2.017034531
278;27.80000256;16.3555603;2.022063494
279;27.90002688;16.38480759;2.027352571
280;28.0000512;16.43372726;2.032837152
281;28.10007552;16.47966957;2.038240194
282;28.20009984;16.49875832;2.043057442
283;28.30000128;16.52670288;2.047695637
284;28.4000256;16.55179977;2.052284956
285;28.50004992;16.57466507;2.056695461
286;28.60007424;16.60811234;2.061268568
287;28.70009856;16.63010025;2.065499783
288;28.8;16.65902519;2.069828749
289;28.90002432;16.69034576;2.074043989
290;29.00004864;16.71953773;2.078128815
291;29.10007296;16.72193146;2.08141613
292;29.20009728;16.73642159;2.084947824
293;29.3001216;16.75447464;2.088593245
294;29.40002304;16.78390503;2.092450142
295;29.50004736;16.81772423;2.096193314
296;29.60007168;16.81660843;2.09886241
297;29.700096;16.83218765;2.102035761
298;29.80012032;16.86241722;2.105648756
299;29.90002176;16.88674545;2.10877347
300;30.00004608;16.87119102;2.110905409
301;30.1000704;16.90793419;2.114274263
302;30.20009472;16.91314507;2.116796732
303;30.30011904;16.92157364;2.11940074
304;30.40002048;16.95640182;2.122476578
305;30.5000448;16.93287277;2.124038935
306;30.60006912;16.97543907;2.127114773
307;30.70009344;16.95323944;2.128579378
308;30.80011776;16.98809433;2.131329775
309;30.9000192;16.96687889;2.132582903
310;31.00004352;16.98349571;2.134649754
311;31.10006784;16.98976898;2.136488914
312;31.20009216;16.97442818;2.137595415
313;31.30011648;17.01018906;2.139971495
314;31.40001792;16.99069977;2.140980482
315;31.50004224;16.98144722;2.141891956
316;31.60006656;17.00176048;2.143665791
317;31.70009088;17.00019264;2.144886494
318;31.8001152;16.98043823;2.145488501
319;31.90001664;16.96881866;2.146139622
320;32.00004096;16.96621323;2.147034645
321;32.10006528;16.99801064;2.148678303
322;32.2000896;16.98285675;2.149264336
323;32.30011392;16.96336937;2.149605989
324;32.40001536;16.95105934;2.149931431
325;32.50003968;16.93470764;2.150175571
326;32.600064;16.91870308;2.150419712
327;32.70008832;16.90745544;2.150598764
328;32.80011264;16.89288712;2.150761366
329;32.90001408;16.88137436;2.150940418
330;33.0000384;16.87105751;2.151021957
331;33.10006272;16.85935974;2.151119471
332;33.20008704;16.84739494;2.151135683
333;33.30011136;16.83125687;2.151135683
334;33.4000128;16.82059669;2.151135683
335;33.50003712;16.81070518;2.151103258
336;33.60006144;16.80044365;2.150924206
337;33.70008576;16.78350639;2.150566101
338;33.80011008;16.76768684;2.150273323
339;33.90001152;16.75338364;2.149882555
340;34.00003584;16.73594284;2.149508238
341;34.10006016;16.71472549;2.149101496
342;34.20008448;16.6874752;2.148450613
343;34.3001088;16.63528442;2.147213697
344;34.40001024;16.58580589;2.146090746
345;34.50003456;16.56974602;2.145602465
346;34.60005888;16.54712105;2.145146847
347;34.7000832;16.52715492;2.144658566
348;34.80010752;16.49910545;2.143958807
349;34.90000896;16.4395771;2.142461538
350;35.00003328;16.39871216;2.141436338
351;35.1000576;16.37651253;2.140866518
352;35.20008192;16.35186577;2.140313387
353;35.30010624;16.32615471;2.139580965
354;35.40000768;16.2506485;2.137709379
355;35.500032;16.22087097;2.136846781
356;35.60005632;16.1971283;2.136277199
357;35.70008064;16.16998291;2.13557744
358;35.80010496;16.12688446;2.134470701
359;35.9000064;16.05717468;2.132647991
360;36.00003072;16.03369713;2.13193202
361;36.10005504;16.00806808;2.131248474
362;36.20007936;15.96760178;2.130255699
363;36.30010368;15.89297199;2.1282866
364;36.40000512;15.86766148;2.127521515
365;36.50002944;15.83697987;2.126740456
366;36.60005376;15.77646732;2.125129223
367;36.70007808;15.71406746;2.123420477
368;36.8001024;15.68875694;2.122688055
369;36.90000384;15.65411377;2.121727943
370;37.00002816;15.57023144;2.119530916
371;37.10005248;15.53689098;2.118619442
372;37.2000768;15.50636959;2.117756844
373;37.30010112;15.4338131;2.115787745
374;37.40000256;15.37984085;2.114306688
375;37.50002688;15.3475914;2.113444328
376;37.6000512;15.28351593;2.111670256
377;37.70007552;15.21805859;2.109912634
378;37.80009984;15.18461227;2.109017611
379;37.90000128;15.12125492;2.107227325
380;38.0000256;15.05765915;2.105534792
381;38.10004992;15.02586079;2.104607344
382;38.20007424;14.9567337;2.102686882
383;38.30009856;14.88936234;2.100880384
384;38.4;14.85227299;2.099903822
385;38.50002432;14.76956081;2.097462654
386;38.60004864;14.72383118;2.096258402
387;38.70007296;14.68272781;2.095119238
388;38.80009728;14.58531189;2.092450142
389;38.9001216;14.55061626;2.091424942
390;39.00002304;14.49122047;2.089765072
391;39.10004736;14.41087437;2.087535381
392;39.20007168;14.37168503;2.086379766
393;39.300096;14.27615738;2.08379221
394;39.40012032;14.23925495;2.082701921
395;39.50002176;14.18049717;2.081041813
396;39.60004608;14.09358406;2.078617096
397;39.7000704;14.05210781;2.077510357
398;39.80009472;13.95759106;2.074776173
399;39.90011904;13.91420078;2.073523045
400;40.00002048;13.83805561;2.071423769
401;40.1000448;13.77129555;2.069438219
402;40.20006912;13.72346497;2.068087339
403;40.30009344;13.62748528;2.065418482
404;40.40011776;13.58720589;2.064246655
405;40.5000192;13.49282169;2.06151247
406;40.60004352;13.44624138;2.060178041
407;40.70006784;13.35815811;2.057753086
408;40.80009216;13.29424286;2.055881739
409;40.90011648;13.23490047;2.054237843
410;41.00001792;13.14809322;2.05176425
411;41.10004224;13.103055;2.050397158
412;41.20006656;13.00463009;2.047532797
413;41.30009088;12.95908546;2.046182156
414;41.4001152;12.8551302;2.043301582
415;41.50001664;12.81120872;2.041966915
416;41.60004096;12.71350098;2.039167881
417;41.70006528;12.67066956;2.037833214
418;41.8000896;12.57024956;2.034936428
419;41.90011392;12.51970768;2.033422947
420;42.00001536;12.42343521;2.030688763
421;42.10003968;12.37448883;2.029126406
422;42.200064;12.2780571;2.026441097
423;42.30008832;12.22376633;2.024699926
424;42.40011264;12.14121342;2.022307396
425;42.50001408;12.07674026;2.020224333
426;42.6000384;11.98498821;2.0175879
427;42.70006272;11.93324947;2.015879154
428;42.80008704;11.83947659;2.013112545
429;42.90011136;11.78327179;2.011240959
430;43.0000128;11.6867342;2.008344173
431;43.10003712;11.63427734;2.006700277
432;43.20006144;11.53040123;2.003461838
433;43.30008576;11.49113274;2.001948118
434;43.40011008;11.38917065;1.998839855
435;43.50001152;11.34304237;1.997326255
436;43.60003584;11.24802017;1.994250417
437;43.70006016;11.19785023;1.992557883
438;43.80008448;11.09862709;1.989433169
439;43.9001088;11.02652264;1.987122178
440;44.00001024;10.95771503;1.98484385
441;44.10003456;10.85891819;1.981849313
442;44.20005888;10.809865;1.979977727
443;44.3000832;10.70564365;1.976755381
444;44.40010752;10.66560268;1.975241899
445;44.50000896;10.56595421;1.972052097
446;44.60003328;10.51389694;1.970245719
447;44.7000576;10.42009735;1.967137218
448;44.80008192;10.33310509;1.964289188
449;44.90010624;10.28577995;1.962499022
450;45.00000768;10.17695904;1.959081411
451;45.100032;10.13768959;1.95740521
452;45.20005632;10.03859901;1.954117775
453;45.30008064;9.983830452;1.952132225
454;45.40010496;9.903802872;1.94931674
455;45.5000064;9.805430412;1.946126938
456;45.60003072;9.767915726;1.94440186
457;45.70005504;9.663163185;1.940902948
458;45.80007936;9.617300034;1.939080119
459;45.90010368;9.52990818;1.935906649
460;46.00000512;9.443207741;1.932879567
461;46.10002944;9.402609825;1.930845261
462;46.20005376;9.30165863;1.927443981
463;46.30007808;9.236599922;1.924888849
464;46.4001024;9.170769691;1.922187328
465;46.50000384;9.077900887;1.918818474
466;46.60002816;9.045119286;1.917028308
467;46.70005248;8.952595711;1.913675785
468;46.8000768;8.859195709;1.910290718
469;46.90010112;8.826148033;1.908370376
470;47.00000256;8.740218163;1.905164242
471;47.10002688;8.675797462;1.902625442
472;47.2000512;8.610739708;1.899858832
473;47.30007552;8.522363663;1.896457434
474;47.40009984;8.474559784;1.894309282
475;47.50000128;8.405035019;1.891298532
476;47.6000256;8.311900139;1.887832046
477;47.70004992;8.273561478;1.885667562
478;47.80007424;8.202733994;1.882624269
479;47.90009856;8.113587379;1.879011273
480;48;8.082612991;1.876944423
481;48.10002432;8.007318497;1.873608232
482;48.20004864;7.921282291;1.869962692
483;48.30007296;7.877865791;1.86740768
484;48.40009728;7.818603039;1.864348054
485;48.5001216;7.741979122;1.860865355
486;48.60002304;7.667375565;1.857480288
487;48.70004736;7.63871479;1.85512042
488;48.80007168;7.559671402;1.85155642
489;48.900096;7.480734348;1.847943425
490;49.00012032;7.444283485;1.845388412
491;49.10002176;7.384941101;1.842166066
492;49.20004608;7.311188221;1.838650703
493;49.3000704;7.249479771;1.835444689
494;49.40009472;7.216059685;1.832922101
495;49.50011904;7.143184185;1.829309225
496;49.60002048;7.066959381;1.825793982
497;49.7000448;7.042313099;1.82356441
498;49.80006912;6.978397369;1.820097923
499;49.90009344;6.904192924;1.81658268
500;50.00011776;6.867529392;1.814060092
501;50.1000192;6.819858551;1.811081886
502;50.20004352;6.745946407;1.80746901
503;50.30006784;6.692054272;1.804572105
504;50.40009216;6.665998936;1.801984549
505;50.50011648;6.593628883;1.798355341
506;50.60001792;6.541092873;1.795425892
507;50.70004224;6.513309479;1.793001056
508;50.80006656;6.446336269;1.789322972
509;50.90009088;6.387047291;1.786198258
510;51.0001152;6.367080212;1.784017563
511;51.10001664;6.303643703;1.780469775
512;51.20004096;6.243210793;1.77732873
513;51.30006528;6.228029728;1.775180578
514;51.4000896;6.164460182;1.771893144
515;51.50011392;6.140956879;1.769696116
516;51.60001536;6.092861176;1.766701579
517;51.70003968;6.026180267;1.763332725
518;51.800064;6.015226364;1.76147747
519;51.90008832;5.964764118;1.758352757
520;52.00011264;5.9072299;1.755407095
521;52.10001408;5.893005848;1.753291488
522;52.2000384;5.829063892;1.750004053
523;52.30006272;5.819439411;1.748262644
524;52.40008704;5.764829159;1.745154262
525;52.50011136;5.741113663;1.743185043
526;52.6000128;5.696846008;1.740369558
527;52.70003712;5.653083801;1.73784709
528;52.80006144;5.63019228;1.735649943
529;52.90008576;5.567367077;1.732622981
530;53.00011008;5.571594238;1.731190801
531;53.10001152;5.508609295;1.728277683
532;53.20003584;5.508423328;1.726910591
533;53.30006016;5.437276363;1.723834753
534;53.40008448;5.447618484;1.722597957
535;53.5001088;5.416059494;1.720824003
536;53.60001024;5.380619049;1.718464255
537;53.70003456;5.373174667;1.71714592
538;53.80005888;5.315135002;1.714460731
539;53.9000832;5.319495201;1.713288903
540;54.00010752;5.255819321;1.710685015
541;54.10000896;5.256510258;1.709464431
542;54.20003328;5.251086712;1.708374023
543;54.3000576;5.201395512;1.70604682
544;54.40008192;5.200358391;1.705037832
545;54.50010624;5.192515373;1.704028845
546;54.60000768;5.136549473;1.701636434
547;54.700032;5.141601086;1.700822711
548;54.80005632;5.138968945;1.699992776
549;54.90008064;5.116502762;1.698739648
550;55.00010496;5.083534718;1.69693315
551;55.1000064;5.084013462;1.696314692
552;55.20003072;5.087841988;1.695728898
553;55.30005504;5.078350067;1.694996476
554;55.40007936;5.025335789;1.69304359
555;55.50010368;5.030838966;1.692408919
556;55.60000512;5.032753468;1.691985726
557;55.70002944;5.038788795;1.691562653
558;55.80005376;5.034534931;1.691172004
559;55.90007808;5.031583309;1.69074893
560;56.0001024;5.021826267;1.690097928
561;56.10000384;4.979047298;1.688503027
562;56.20002816;4.980004787;1.68812871
563;56.30005248;4.98920393;1.687900901
564;56.4000768;4.99117136;1.687705517
565;56.50010112;4.998908043;1.687559128
566;56.60000256;5.002497196;1.687445164
567;56.70002688;5.005687714;1.687380075
568;56.8000512;5.013185501;1.687314987
569;56.90007552;5.013876438;1.687282443
570;57.00009984;5.017492294;1.687249899
571;57.10000128;5.023022652;1.687249899
572;57.2000256;5.02613306;1.687233567
573;57.30004992;5.032221794;1.687233567
574;57.40007424;5.031610012;1.687249899
575;57.50009856;5.0369277;1.687266111
576;57.6;5.040277481;1.687314987
577;57.70002432;5.042085648;1.687445164
578;57.80004864;5.048492908;1.687705517
579;57.90007296;5.061228275;1.687965989
580;58.00009728;5.07297945;1.688323975
581;58.1001216;5.089703083;1.688779712
