S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Valeur de consigne[];C_1_Virtual Channel LX[];C_1_Virtual Channel LE[];C_1_Cycles[];C_1_Valeur de commande[%];C_1_Déplacement[mm]
54;5.40008448000026;4.19946050643921;0.00240000011399388;0.568645536899567;200.0;100.0;0.0;8.75810831785202;0.330810010433197
55;5.50010879999991;4.23261451721191;0.00230000005103648;0.576980888843536;200.0;100.0;0.0;9.60520952939987;0.338084667921066
56;5.6000102400003;4.29703521728516;0.00300000002607703;0.585316181182861;200.0;100.0;0.0;9.68838185071945;0.345880120992661
57;5.70003455999995;4.34300422668457;0.0020000000949949;0.593651533126831;200.0;100.0;0.0;7.92857781052589;0.353122234344482
58;5.80005888000005;4.38333702087402;0.00139999995008111;0.601986885070801;200.0;100.0;0.0;5.20834736526012;0.360462009906769
59;5.90008320000015;4.44549751281738;0.00230000005103648;0.610311985015869;200.0;100.0;0.0;3.22061479091644;0.36820861697197
60;6.00010752000026;4.49210453033447;0.00120000005699694;0.618647277355194;200.0;100.0;0.0;2.6724049821496;0.375548392534256
61;6.1000089600002;4.53243732452393;0.000699999975040555;0.626982629299164;200.0;100.0;0.0;6.53906390070915;0.382627755403519
62;6.2000332800003;4.59356117248535;0.0015999999595806;0.635317981243134;200.0;100.0;0.0;9.51977968215942;0.390423178672791
63;6.30005759999995;4.64875602722168;0.000699999975040555;0.643653273582459;200.0;100.0;0.0;10.0532621145248;0.398186087608337
64;6.40008192000005;4.67672538757324;0.000199999994947575;0.651978373527527;200.0;100.0;0.0;10.5755664408207;0.404956251382828
65;6.50010624000015;4.7412257194519;0.00109999999403954;0.660313725471497;200.0;100.0;0.0;8.13905224204063;0.413044631481171
66;6.60000768000009;4.80107355117798;0.000600000028498471;0.668649077415466;200.0;100.0;0.0;5.79352043569088;0.420856356620789
67;6.70003200000019;4.84736156463623;-0.000600000028498471;0.676984369754791;200.0;100.0;0.0;4.01214770972729;0.428179830312729
68;6.80005632000029;4.89125680923462;-0.000500000023748726;0.685319721698761;200.0;100.0;0.0;4.88175414502621;0.435747444629669
69;6.90008063999994;4.95150327682495;0.000199999994947575;0.693644821643829;200.0;100.0;0.0;9.06840190291405;0.443754434585571
70;7.00010496000004;5.01329183578491;-0.000600000028498471;0.701980173587799;200.0;100.0;0.0;9.4044990837574;0.451517343521118
71;7.10000639999998;5.04543542861938;-0.00150000001303852;0.710315525531769;200.0;100.0;0.0;10.8023211359978;0.458482801914215
72;7.20003072000009;5.09977960586548;-0.000600000028498471;0.718650817871094;200.0;100.0;0.0;10.8271829783916;0.466229408979416
73;7.30005504000019;5.16132879257202;-0.000500000023748726;0.726986169815063;200.0;100.0;0.0;9.11873951554298;0.473715633153915
74;7.40007936000029;5.19102621078491;-0.00170000002253801;0.735311269760132;200.0;100.0;0.0;6.12652823328972;0.480534613132477
75;7.50010367999994;5.25419759750366;-0.000600000028498471;0.743646621704102;200.0;100.0;0.0;3.56164947152138;0.488151043653488
