Index,Déplacement [ mm ],Force [ N ]
94,2.0259433267191,17871.9999999901
95,2.0320683267191,17973.59999999
96,2.0369433267191,18075.19999999
97,2.0441933267191,18169.1999999899
98,2.04781832671909,18270.7999999899
99,2.05269332671909,18356.7999999898
100,2.05631832671909,18458.3999999898
101,2.06119332671909,18536.7999999897
102,2.06719332671909,18630.7999999897
103,2.07206832671909,18739.9999999896
104,2.07569332671909,18825.9999999896
105,2.0818183267191,18919.9999999895
106,2.0841933267191,18990.3999999895
107,2.0903183267191,19099.9999999894
108,2.0939433267191,19185.9999999894
109,2.0999433267191,19295.5999999893
110,2.1060683267191,19389.1999999893
111,2.1096933267191,19491.1999999892
112,2.1144433267191,19584.7999999891
113,2.12056832671909,19678.7999999891
114,2.12419332671909,19772.399999989
115,2.12906832671909,19874.399999989
116,2.13506832671909,19983.5999999889
117,2.13869332671909,20069.5999999889
118,2.14244332671909,20147.9999999888
119,2.1460683267191,20249.5999999888
120,2.1545683267191,20390.3999999887
121,2.1569433267191,20437.1999999887
122,2.1605683267191,20562.3999999886
123,2.1666933267191,20671.9999999885
124,2.1714433267191,20781.5999999885
125,2.1775683267191,20875.1999999884
126,2.18244332671909,20977.1999999884
127,2.18969332671909,21086.3999999883
128,2.19331832671909,21156.7999999883
129,2.19694332671909,21274.3999999882
130,2.20181832671909,21383.5999999882
131,2.20669332671909,21493.1999999881
132,2.21144332671909,21602.799999988
133,2.21631832671909,21688.799999988
134,2.21994332671909,21790.3999999879
135,2.2260683267191,21899.9999999879
136,2.2309433267191,22009.5999999878
137,2.2345683267191,22103.1999999877
138,2.2369433267191,22220.7999999877
139,2.2466933267191,22322.3999999876
140,2.2503183267191,22423.9999999876
141,2.2539433267191,22533.5999999875
142,2.25881832671909,22643.1999999874
143,2.26731832671909,22752.3999999874
144,2.27206832671909,22877.5999999873
145,2.27456832671909,22955.9999999873
146,2.27819332671909,23065.1999999872
147,2.28544332671909,23174.7999999871
148,2.28781832671909,23291.9999999871
149,2.2963183267191,23401.599999987
150,2.2999433267191,23511.199999987
151,2.3024433267191,23605.1999999869
152,2.3084433267191,23706.7999999869
153,2.3133183267191,23831.9999999868
154,2.3169433267191,23909.9999999867
155,2.3218183267191,24035.1999999867
156,2.32669332671909,24129.1999999866
157,2.33269332671909,24254.3999999866
158,2.33519332671909,24363.5999999865
159,2.34244332671909,24496.7999999864
160,2.34606832671909,24582.7999999864
161,2.35094332671909,24707.9999999863
162,2.3558183267191,24801.5999999862
163,2.3594433267191,24911.1999999862
164,2.3654433267191,25020.7999999861
165,2.3703183267191,25145.9999999861
166,2.3751933267191,25270.799999986
167,2.3836933267191,25388.3999999859
168,2.3884433267191,25489.9999999859
169,2.3896933267191,25607.1999999858
170,2.39581832671909,25724.7999999857
171,2.39944332671909,25833.9999999857
172,2.40306832671909,25935.9999999856
173,2.40906832671909,26053.1999999856
174,2.41394332671909,26170.3999999855
175,2.42006832671909,26279.9999999854
176,2.42369332671909,26412.7999999854
177,2.42969332671909,26530.3999999853
178,2.4358183267191,26655.1999999852
179,2.4381933267191,26780.3999999852
180,2.4443183267191,26921.1999999851
181,2.4479433267191,27038.799999985
182,2.4539433267191,27155.999999985
183,2.4588183267191,27273.1999999849
184,2.46369332671909,27406.3999999848
185,2.46731832671909,27507.9999999848
186,2.47456832671909,27656.3999999847
187,2.47944332671909,27789.5999999846
188,2.48431832671909,27906.7999999845
189,2.48794332671909,28031.9999999845
190,2.49394332671909,28157.1999999844
191,2.5000683267191,28282.3999999843
192,2.5049433267191,28407.1999999842
193,2.5109433267191,28524.7999999842
194,2.5158183267191,28633.9999999841
195,2.5194433267191,28759.1999999841
196,2.5243183267191,28837.599999984
197,2.5279433267191,28970.3999999839
198,2.53281832671909,29079.9999999839
199,2.53644332671909,29205.1999999838
200,2.54369332671909,29330.3999999837
201,2.54606832671909,29447.5999999837
202,2.55219332671909,29572.7999999836
203,2.55819332671909,29689.9999999835
204,2.56069332671909,29791.5999999835
205,2.56669332671909,29932.3999999834
206,2.57031832671909,30033.9999999833
207,2.5764433267191,30167.1999999833
208,2.5800683267191,30307.9999999832
209,2.5849433267191,30417.5999999831
210,2.5909433267191,30558.3999999831
211,2.5958183267191,30683.199999983
212,2.6006933267191,30800.7999999829
213,2.60431832671909,30949.1999999828
214,2.60919332671909,31074.3999999828
215,2.61519332671909,31215.1999999827
216,2.62244332671909,31340.3999999826
217,2.62369332671909,31481.1999999825
218,2.63219332671909,31621.9999999825
219,2.63819332671909,31739.1999999824
220,2.6406933267191,31848.7999999823
221,2.6479433267191,31989.5999999823
222,2.6503183267191,32130.3999999822
223,2.6564433267191,32263.1999999821
224,2.6624433267191,32411.999999982
225,2.6661933267191,32521.199999982
226,2.6721933267191,32646.3999999819
227,2.6758183267191,32779.5999999818
228,2.68069332671909,32896.7999999818
229,2.68669332671909,33029.5999999817
230,2.69044332671909,33154.7999999816
231,2.69281832671909,33256.3999999816
232,2.70006832671909,33381.5999999815
233,2.70494332671909,33522.3999999814
234,2.70731832671909,33655.5999999813
235,2.7134433267191,33780.7999999813
236,2.7194433267191,33913.5999999812
237,2.7219433267191,34015.1999999811
238,2.7268183267191,34155.9999999811
239,2.7328183267191,34281.199999981
240,2.73894332671909,34429.5999999809
241,2.7436933267191,34562.7999999808
242,2.74619332671909,34703.5999999808
243,2.75219332671909,34844.3999999807
244,2.75706832671909,34985.1999999806
245,2.76194332671909,35102.3999999805
246,2.76794332671909,35258.7999999805
247,2.7740683267191,35399.5999999804
248,2.7789433267191,35587.1999999803
249,2.7825683267191,35681.1999999802
250,2.7885683267191,35829.9999999801
251,2.7921933267191,35954.7999999801
252,2.7983183267191,36103.59999998
253,2.8006933267191,36220.7999999799
254,2.8068183267191,36377.1999999798
255,2.81044332671909,36463.1999999798
256,2.81531832671909,36611.9999999797
257,2.82131832671909,36776.3999999796
258,2.82619332671909,36893.5999999795
259,2.82981832671909,37034.3999999795
260,2.83581832671909,37182.7999999794
261,2.84069332671909,37315.9999999793
262,2.8468183267191,37456.7999999792
263,2.8491933267191,37597.5999999792
264,2.8576933267191,37722.3999999791
265,2.8600683267191,37863.199999979
266,2.8685683267191,38019.9999999789
267,2.8710683267191,38144.7999999789
268,2.87594332671909,38293.5999999788
269,2.8806933267191,38434.3999999787
270,2.8843183267191,38551.5999999786
271,2.88919332671909,38707.9999999785
272,2.89531832671909,38841.1999999785
273,2.89894332671909,38958.3999999784
274,2.90494332671909,39106.7999999783
275,2.90856832671909,39247.5999999782
276,2.91344332671909,39396.3999999782
277,2.9195683267191,39552.7999999781
278,2.9243183267191,39701.199999978
279,2.9291933267191,39849.9999999779
280,2.9328183267191,39998.7999999778
281,2.9364433267191,40107.9999999778
282,2.9449433267191,40287.9999999777
283,2.9474433267191,40381.9999999776
284,2.95106832671909,40530.3999999775
285,2.95469332671909,40647.5999999775
286,2.96194332671909,40788.3999999774
287,2.96806832671909,40937.1999999773
288,2.97169332671909,41062.3999999772
289,2.97894332671909,41195.1999999772
290,2.98256832671909,41312.3999999771
291,2.98494332671909,41461.199999977
292,2.9898183267191,41593.9999999769
