R1B2_1,,,R1B2_2,,,R1B2_3,,,R1R2_1,,,R1R2_2,,,R1R2_3,,
Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse
sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm
5.12,256.4621,0.4266375,5.12,253.2578,0.4265375,5.12,269.378,0.4265625,,,,,,,5.12,249.5607,0.426575
5.13,250.9435,0.4274625,5.13,253.5725,0.4273875,5.13,269.6546,0.4273875,,,,,,,5.13,249.8976,0.4274125
5.14,223.7606,0.4282625,5.14,253.8776,0.428225,5.14,269.9121,0.4282125,,,,,,,5.14,250.2473,0.4282375
5.15,162.1246,0.4290875,5.15,254.1924,0.4290625,5.15,270.1759,0.42905,,,,,,,5.15,250.5907,0.429075
5.16,84.25394,0.429925,5.16,254.5357,0.4298875,5.16,270.443,0.429875,,,,,,,5.16,250.934,0.4299
5.17,27.47854,0.43075,5.17,254.9108,0.4307125,5.17,270.6909,0.430725,,,,,,,5.17,251.2836,0.430725
5.18,4.622141,0.4315875,5.18,255.2923,0.43155,5.18,270.8976,0.4315625,,,,,,,5.18,251.6365,0.43155
5.19,0.3115336,0.4324125,5.19,255.6674,0.4324,5.19,271.0915,0.4323875,,,,,,,5.19,251.9798,0.432375
5.2,0.09536743,0.43325,5.2,256.0202,0.433225,5.2,271.3108,0.4332375,,,,,,,5.2,252.3136,0.4332
5.21,0.06357829,0.434075,5.21,256.354,0.434075,5.21,271.5588,0.434075,,,,,,,5.21,252.6315,0.434025
5.22,0.0445048,0.4349,5.22,256.6719,0.4349125,5.22,271.8131,0.4349,,,,,,,5.22,252.943,0.43485
5.23,0.0222524,0.4357,5.23,257.0057,0.43575,5.23,272.061,0.435725,,,,,,,5.23,253.2578,0.4357
5.24,0.01271566,0.4360375,5.24,257.3395,0.436575,5.24,272.2963,0.43655,,,,,,,5.24,253.5852,0.43655
5.25,-0.003178914,0.4361375,5.25,257.6891,0.4374125,5.25,272.5347,0.4373875,,,,,,,5.25,253.9285,0.4373875
,,,5.26,258.0452,0.43825,5.26,272.7763,0.4382125,,,,,,,5.26,254.2782,0.438225
,,,5.27,258.4108,0.4390625,5.27,273.0052,0.43905,,,,,,,5.27,254.6374,0.4390625
,,,5.28,258.7477,0.439875,5.28,273.2181,0.439875,,,,,,,5.28,254.9902,0.4399
,,,5.29,259.0624,0.4407,5.29,273.4407,0.4407375,,,,,,,5.29,255.3431,0.4407125
,,,5.3,259.3549,0.4415375,5.3,273.6855,0.441575,,,,,,,5.3,255.7087,0.4415625
,,,5.31,259.6537,0.442375,5.31,273.9334,0.4424125,,,,,,,5.31,256.0711,0.4424
,,,5.32,259.9653,0.4432125,5.32,274.1655,0.4432375,,,,,,,5.32,256.4303,0.4432375
,,,5.33,260.2831,0.4440625,5.33,274.4039,0.444075,,,,,,,5.33,256.7895,0.444075
,,,5.34,260.6138,0.4448875,5.34,274.6455,0.4448875,,,,,,,5.34,257.1424,0.4449125
,,,5.35,260.9348,0.445725,5.35,274.8744,0.445725,,,,,,,5.35,257.4666,0.44575
,,,5.36,261.2432,0.44655,5.36,275.081,0.44655,,,,,,,5.36,257.7686,0.4465875
,,,5.37,261.542,0.447375,5.37,275.2876,0.4473875,,,,,,,5.37,258.0674,0.447425
,,,5.38,261.8503,0.4482125,5.38,275.5038,0.448225,,,,,,,5.38,258.379,0.4482375
,,,5.39,262.1778,0.44905,5.39,275.739,0.44905,,,,,,,5.39,258.7096,0.44905
,,,5.4,262.5275,0.449875,5.4,275.9711,0.4498875,,,,,,,5.4,259.0434,0.449875
,,,5.41,262.8644,0.4507125,5.41,276.1809,0.450725,,,,,,,5.41,259.3549,0.4507
,,,5.42,263.1728,0.45155,5.42,276.4034,0.4515625,,,,,,,5.42,259.6569,0.451525
,,,5.43,263.4557,0.4524,5.43,276.6323,0.4523875,,,,,,,5.43,259.9621,0.4523625
,,,5.44,263.7386,0.453225,5.44,276.8548,0.4532125,,,,,,,5.44,260.2831,0.4532125
,,,5.45,264.0279,0.4540625,5.45,277.0646,0.4540375,,,,,,,5.45,260.6138,0.4540625
,,,5.46,264.3267,0.4548875,5.46,277.2617,0.4548625,,,,,,,5.46,260.9316,0.4548875
,,,5.47,264.6478,0.4557125,5.47,277.4588,0.4556875,,,,,,,5.47,261.2432,0.455725
,,,5.48,264.9975,0.4565375,5.48,277.6718,0.4565375,,,,,,,5.48,261.5325,0.45655
,,,5.49,265.3376,0.4573625,5.49,277.8943,0.457375,,,,,,,5.49,261.8154,0.457375
,,,5.5,265.6492,0.4582,5.5,278.1169,0.458225,,,,,,,5.5,262.1142,0.458225
,,,5.51,265.9384,0.4590375,5.51,278.3235,0.459075,,,,,,,5.51,262.4225,0.45905
,,,5.52,266.2214,0.4598875,5.52,278.546,0.4599125,,,,,,,5.52,262.7309,0.4599
,,,5.53,266.4979,0.4607375,5.53,278.7876,0.4607375,,,,,,,5.53,263.0393,0.4607375
,,,5.54,266.7904,0.4615625,5.54,279.0419,0.4615625,,,,,,,5.54,263.3349,0.461575
,,,5.55,267.0892,0.4624125,5.55,279.2835,0.4624,,,,,,,5.55,263.6274,0.4624125
,,,5.56,267.4039,0.463225,5.56,279.4997,0.463225,,,,,,,5.56,263.9516,0.46325
,,,5.57,267.7155,0.46405,5.57,279.6873,0.4640625,,,,,,,5.57,264.2854,0.4640875
,,,5.58,268.0047,0.4648875,5.58,279.8557,0.4649,,,,,,,5.58,264.5938,0.4649
,,,5.59,268.2877,0.4657125,5.59,280.0369,0.4657375,,,,,,,5.59,264.8831,0.465725
,,,5.6,268.5738,0.4665375,5.6,280.2595,0.466575,,,,,,,5.6,265.1691,0.46655
,,,5.61,268.8662,0.467375,5.61,280.4947,0.4674125,,,,,,,5.61,265.4616,0.467375
,,,5.62,269.146,0.4682125,5.62,280.7172,0.4682375,,,,,,,5.62,265.7541,0.4682125
,,,5.63,269.4193,0.46905,5.63,280.9048,0.4690625,,,,,,,5.63,266.037,0.46905
,,,5.64,269.6896,0.4698875,5.64,281.0923,0.469875,,,,,,,5.64,266.3167,0.4699
,,,5.65,269.963,0.4707125,5.65,281.2894,0.4707,,,,,,,5.65,266.5997,0.4707375
,,,5.66,270.2363,0.47155,5.66,281.4929,0.471525,,,,,,,5.66,266.8921,0.4715625
,,,5.67,270.5193,0.472375,5.67,281.6645,0.47235,,,,,,,5.67,267.1655,0.4724
,,,5.68,270.8117,0.4732,5.68,281.8235,0.4731875,,,,,,,5.68,267.423,0.473225
,,,5.69,271.0946,0.474025,5.69,281.9919,0.4740375,,,,,,,5.69,267.6741,0.4740375
,,,5.7,271.3585,0.47485,5.7,282.1922,0.4748875,,,,,,,5.7,267.9443,0.474875
,,,5.71,271.6064,0.4756875,5.71,282.4211,0.475725,,,,,,,5.71,268.2273,0.4757125
,,,5.72,271.8481,0.4765375,5.72,282.6595,0.4765625,,,,,,,5.72,268.5102,0.4765375
,,,5.73,272.096,0.4773875,5.73,282.8948,0.4773875,,,,,,,5.73,268.7804,0.477375
,,,5.74,272.3567,0.4782375,5.74,283.1332,0.4782125,,,,,,,5.74,269.0633,0.4782125
,,,5.75,272.6459,0.4790625,5.75,283.3557,0.4790625,,,,,,,5.75,269.3367,0.47905
,,,5.76,272.9479,0.4798875,5.76,283.5687,0.4799,,,,,,,5.76,269.5751,0.479875
,,,5.77,273.2372,0.4807125,5.77,283.7658,0.4807375,,,,,,,5.77,269.8072,0.480725
,,,5.78,273.5011,0.48155,5.78,283.9374,0.481575,,,,,,,5.78,270.0647,0.48155
,,,5.79,273.7586,0.4823875,5.79,284.1028,0.482425,,,,,,,5.79,270.3317,0.4823625
,,,5.8,274.0161,0.483225,5.8,284.2744,0.4832625,,,,,,,5.8,270.6051,0.4832
,,,5.81,274.2736,0.4840625,5.81,284.4683,0.4840875,,,,,,,5.81,270.8785,0.484025
,,,5.82,274.5469,0.4849,5.82,284.6591,0.484925,,,,,,,5.82,271.1519,0.4848625
,,,5.83,274.8299,0.4857375,5.83,284.8371,0.4857625,,,,,,,5.83,271.403,0.4857
,,,5.84,275.0969,0.486575,5.84,285.0183,0.486575,,,,,,,5.84,271.6414,0.48655
,,,5.85,275.3385,0.4874,5.85,285.2186,0.4874,,,,,,,5.85,271.8925,0.4874
,,,5.86,275.5769,0.488225,5.86,285.4379,0.4882125,,,,,,,5.86,272.1564,0.4882375
,,,5.87,275.828,0.4890375,5.87,285.6477,0.48905,,,,,,,5.87,272.4139,0.4890625
,,,5.88,276.0855,0.4898625,5.88,285.8512,0.4898875,,,,,,,5.88,272.6714,0.4899
,,,5.89,276.3398,0.4906875,5.89,286.0482,0.4907375,,,,,,,5.89,272.9225,0.490725
,,,5.9,276.5815,0.4915125,5.9,286.2263,0.491575,,,,,,,5.9,273.1577,0.4915625
,,,5.91,276.8389,0.49235,5.91,286.3757,0.4924125,,,,,,,5.91,273.3771,0.4923875
,,,5.92,277.1155,0.4931875,5.92,286.5283,0.49325,,,,,,,5.92,273.6219,0.493225
,,,5.93,277.3794,0.4940375,5.93,286.7063,0.494075,,,,,,,5.93,273.908,0.4940625
,,,5.94,277.6114,0.4948875,5.94,286.9066,0.4948875,,,,,,,5.94,274.2163,0.4949
,,,5.95,277.8435,0.4957125,5.95,287.11,0.4957375,,,,,,,5.95,274.5088,0.4957375
,,,5.96,278.0851,0.49655,5.96,287.2849,0.4965625,,,,,,,5.96,274.7663,0.4965625
,,,5.97,278.3298,0.497375,5.97,287.4565,0.4974,,,,,,,5.97,274.9856,0.4974
,,,5.98,278.5619,0.4982125,5.98,287.6441,0.498225,,,,,,,5.98,275.1986,0.498225
,,,5.99,278.8099,0.4990625,5.99,287.8507,0.499075,,,,,,,5.99,275.4243,0.49905
,,,6,279.0674,0.4999,6,288.0637,0.4999125,,,,,,,6,275.6659,0.4998625
,,,6.01,279.328,0.5007375,6.01,288.2513,0.50075,,,,,,,6.01,275.9107,0.5006875
,,,6.02,279.5919,0.501575,6.02,288.4165,0.501575,,,,,,,6.02,276.1555,0.501525
,,,6.03,279.8398,0.502425,6.03,288.585,0.5023875,,,,,,,6.03,276.3939,0.502375
,,,6.04,280.0782,0.50325,6.04,288.7599,0.503225,,,,,,,6.04,276.61,0.503225
,,,6.05,280.3199,0.5040875,6.05,288.9315,0.50405,,,,,,,6.05,276.8326,0.504075
,,,6.06,280.5583,0.504925,6.06,289.0841,0.5048625,,,,,,,6.06,277.071,0.5049125
,,,6.07,280.7744,0.5057375,6.07,289.2144,0.5057,,,,,,,6.07,277.3285,0.5057375
,,,6.08,280.9906,0.5065625,6.08,289.3511,0.5065375,,,,,,,6.08,277.586,0.506575
,,,6.09,281.2227,0.507375,6.09,289.5133,0.5073875,,,,,,,6.09,277.8244,0.5073875
,,,6.1,281.477,0.5082,6.1,289.6913,0.5082375,,,,,,,6.1,278.0247,0.508225
,,,6.11,281.7249,0.50905,6.11,289.882,0.509075,,,,,,,6.11,278.2218,0.509075
,,,6.12,281.9506,0.5099,6.12,290.0791,0.5099,,,,,,,6.12,278.4443,0.5099125
,,,6.13,282.1636,0.5107375,6.13,290.2921,0.510725,,,,,,,6.13,278.6764,0.51075
,,,6.14,282.3861,0.511575,6.14,290.4892,0.5115375,,,,,,,6.14,278.8957,0.5115875
,,,6.15,282.6277,0.5124125,6.15,290.6609,0.512375,,,,,,,6.15,279.096,0.5124125
,,,6.16,282.882,0.5132375,6.16,290.8103,0.513225,,,,,,,6.16,279.309,0.51325
,,,6.17,283.1173,0.51405,6.17,290.9533,0.51405,,,,,,,6.17,279.5378,0.5140875
,,,6.18,283.3366,0.5148875,6.18,291.0995,0.5148875,,,,,,,6.18,279.7477,0.5149
,,,6.19,283.5274,0.515725,6.19,291.2808,0.515725,,,,,,,6.19,279.9352,0.515725
,,,6.2,283.7245,0.51655,6.2,291.4937,0.5165625,,,,,,,6.2,280.1069,0.51655
,,,6.21,283.947,0.5174,6.21,291.6908,0.5174,,,,,,,6.21,280.2944,0.5173625
,,,6.22,284.1981,0.5182375,6.22,291.853,0.5182375,,,,,,,6.22,280.5074,0.5182
,,,6.23,284.4366,0.519075,6.23,291.9833,0.5190625,,,,,,,6.23,280.7426,0.51905
,,,6.24,284.6495,0.5199125,6.24,292.1295,0.519875,,,,,,,6.24,280.9811,0.5198875
,,,6.25,284.8593,0.5207375,6.25,292.2853,0.5207125,,,,,,,6.25,281.1941,0.520725
,,,6.26,285.0882,0.52155,6.26,292.4442,0.5215375,,,,,,,6.26,281.3816,0.521575
,,,6.27,285.3107,0.5223875,6.27,292.5905,0.5223625,,,,,,,6.27,281.5819,0.5224
,,,6.28,285.5174,0.5232125,6.28,292.7367,0.5232,,,,,,,6.28,281.8044,0.5232375
,,,6.29,285.7145,0.524025,6.29,292.8925,0.52405,,,,,,,6.29,282.0269,0.52405
,,,6.3,285.9052,0.5248625,6.3,293.0546,0.5249,,,,,,,6.3,282.2336,0.5249
,,,6.31,286.1086,0.5257,6.31,293.2167,0.5257375,,,,,,,6.31,282.4465,0.525725
,,,6.32,286.3121,0.52655,6.32,293.3979,0.526575,,,,,,,6.32,282.6627,0.5265625
,,,6.33,286.5219,0.5274,6.33,293.6013,0.5274,,,,,,,6.33,282.8661,0.5274
,,,6.34,286.7444,0.5282375,6.34,293.7921,0.528225,,,,,,,6.34,283.041,0.5282375
,,,6.35,286.9669,0.5290625,6.35,293.9637,0.5290625,,,,,,,6.35,283.2095,0.529075
,,,6.36,287.1736,0.5298875,6.36,294.1195,0.5298875,,,,,,,6.36,283.3811,0.5299125
,,,6.37,287.377,0.5307,6.37,294.2562,0.530725,,,,,,,6.37,283.5719,0.530725
,,,6.38,287.5837,0.5315375,6.38,294.3929,0.5315625,,,,,,,6.38,283.7944,0.5315625
,,,6.39,287.8062,0.5323875,6.39,294.5359,0.5324,,,,,,,6.39,284.0233,0.5323875
,,,6.4,288.0287,0.5332125,6.4,294.6917,0.5332375,,,,,,,6.4,284.214,0.5332
,,,6.41,288.2513,0.53405,6.41,294.8475,0.534075,,,,,,,6.41,284.3698,0.534025
,,,6.42,288.4738,0.5348875,6.42,295.0001,0.5349,,,,,,,6.42,284.5128,0.53485
,,,6.43,288.6804,0.535725,6.43,295.1654,0.535725,,,,,,,6.43,284.6781,0.5357
,,,6.44,288.8775,0.5365625,6.44,295.3434,0.5365625,,,,,,,6.44,284.8752,0.5365625
,,,6.45,289.0682,0.5373875,6.45,295.5246,0.537375,,,,,,,6.45,285.0787,0.5374
,,,6.46,289.2621,0.538225,6.46,295.6931,0.5382,,,,,,,6.46,285.2599,0.5382375
,,,6.47,289.4465,0.53905,6.47,295.8393,0.5390375,,,,,,,6.47,285.422,0.5390625
,,,6.48,289.6404,0.539875,6.48,295.9633,0.539875,,,,,,,6.48,285.5746,0.5398875
,,,6.49,289.828,0.5407,6.49,296.1063,0.540725,,,,,,,6.49,285.7495,0.5407125
,,,6.5,290.0092,0.541525,6.5,296.2526,0.541575,,,,,,,6.5,285.9561,0.5415625
,,,6.51,290.1808,0.5423625,6.51,296.3893,0.5424125,,,,,,,6.51,286.1691,0.5424
,,,6.52,290.3557,0.5432,6.52,296.5259,0.54325,,,,,,,6.52,286.3757,0.5432375
,,,6.53,290.5591,0.54405,6.53,296.6658,0.544075,,,,,,,6.53,286.5537,0.544075
,,,6.54,290.7753,0.5449,6.54,296.8089,0.5449,,,,,,,6.54,286.6936,0.5449125
,,,6.55,290.9883,0.5457375,6.55,296.9329,0.545725,,,,,,,6.55,286.8271,0.54575
,,,6.56,291.1917,0.5465625,6.56,297.0695,0.5465625,,,,,,,6.56,286.9765,0.5465875
,,,6.57,291.392,0.547375,6.57,297.2221,0.5473875,,,,,,,6.57,287.1704,0.5474125
,,,6.58,291.5986,0.548225,6.58,297.3747,0.5482375,,,,,,,6.58,287.3929,0.5482375
,,,6.59,291.8084,0.54905,6.59,297.5114,0.549075,,,,,,,6.59,287.59,0.5490625
,,,6.6,292.0087,0.5498875,6.6,297.6481,0.5499,,,,,,,6.6,287.7458,0.549875
,,,6.61,292.1995,0.550725,6.61,297.7943,0.5507375,,,,,,,6.61,287.8984,0.5507125
,,,6.62,292.3965,0.5515625,6.62,297.9501,0.5515625,,,,,,,6.62,288.0637,0.5515375
,,,6.63,292.5905,0.5524,6.63,298.1059,0.5523875,,,,,,,6.63,288.2449,0.552375
,,,6.64,292.7558,0.5532375,6.64,298.2426,0.5532125,,,,,,,6.64,288.4324,0.553225
,,,6.65,292.9084,0.5540625,6.65,298.3697,0.554025,,,,,,,6.65,288.6136,0.5540625
,,,6.66,293.0609,0.5548875,6.66,298.5096,0.5548625,,,,,,,6.66,288.7821,0.5549
,,,6.67,293.2167,0.5557125,6.67,298.6685,0.5556875,,,,,,,6.67,288.9315,0.5557375
,,,6.68,293.382,0.5565375,6.68,298.8148,0.556525,,,,,,,6.68,289.0905,0.55655
,,,6.69,293.5759,0.5573625,6.69,298.9451,0.5573625,,,,,,,6.69,289.2494,0.557375
,,,6.7,293.7826,0.5581875,6.7,299.0659,0.5582125,,,,,,,6.7,289.4274,0.5582125
,,,6.71,293.9637,0.5590375,6.71,299.1867,0.55905,,,,,,,6.71,289.5991,0.55905
,,,6.72,294.1259,0.5598875,6.72,299.3234,0.5598875,,,,,,,6.72,289.7517,0.5598875
,,,6.73,294.2975,0.5607375,6.73,299.476,0.560725,,,,,,,6.73,289.8757,0.560725
,,,6.74,294.4883,0.561575,6.74,299.6381,0.5615375,,,,,,,6.74,290.0187,0.5615625
,,,6.75,294.6663,0.5624125,6.75,299.8098,0.5623875,,,,,,,6.75,290.184,0.5624
,,,6.76,294.8189,0.5632375,6.76,299.9751,0.563225,,,,,,,6.76,290.3461,0.563225
,,,6.77,294.9651,0.56405,6.77,300.1309,0.5640625,,,,,,,6.77,290.4797,0.564075
,,,6.78,295.14,0.5648875,6.78,300.258,0.5649,,,,,,,6.78,290.5941,0.5648875
,,,6.79,295.337,0.565725,6.79,300.3788,0.5657375,,,,,,,6.79,290.7244,0.5657125
,,,6.8,295.5437,0.56655,6.8,300.5123,0.5665875,,,,,,,6.8,290.8834,0.56655
,,,6.81,295.7376,0.5673875,6.81,300.6522,0.5674125,,,,,,,6.81,291.0296,0.567375
,,,6.82,295.9188,0.568225,6.82,300.8143,0.5682375,,,,,,,6.82,291.1599,0.5682
,,,6.83,296.1,0.5690625,6.83,300.986,0.569075,,,,,,,6.83,291.2903,0.56905
,,,6.84,296.2716,0.5699,6.84,301.164,0.5699,,,,,,,6.84,291.4397,0.5699
,,,6.85,296.4496,0.570725,6.85,301.3039,0.5707125,,,,,,,6.85,291.5859,0.5707375
,,,6.86,296.6277,0.57155,6.86,301.4215,0.5715375,,,,,,,6.86,291.7353,0.571575
,,,6.87,296.7866,0.5723625,6.87,301.5327,0.5723625,,,,,,,6.87,291.907,0.5724125
,,,6.88,296.9233,0.5732,6.88,301.6376,0.5732,,,,,,,6.88,292.0914,0.5732375
,,,6.89,297.06,0.574025,6.89,301.733,0.57405,,,,,,,6.89,292.2726,0.57405
,,,6.9,297.2126,0.57485,6.9,301.8379,0.5748875,,,,,,,6.9,292.4474,0.5748875
,,,6.91,297.3747,0.5756875,6.91,301.9873,0.5757375,,,,,,,6.91,292.6095,0.5757125
,,,6.92,297.521,0.576525,6.92,302.1463,0.5765625,,,,,,,6.92,292.7271,0.57655
,,,6.93,297.6608,0.577375,6.93,302.2989,0.5773875,,,,,,,6.93,292.8225,0.5773875
,,,6.94,297.8134,0.5782125,6.94,302.426,0.5782125,,,,,,,6.94,292.9433,0.578225
,,,6.95,297.9946,0.57905,6.95,302.5309,0.57905,,,,,,,6.95,293.0991,0.5790625
,,,6.96,298.1917,0.5798875,6.96,302.6168,0.5799,,,,,,,6.96,293.258,0.5798875
,,,6.97,298.3856,0.5807125,6.97,302.709,0.5807375,,,,,,,6.97,293.3915,0.580725
,,,6.98,298.5668,0.58155,6.98,302.8202,0.581575,,,,,,,6.98,293.5092,0.58155
,,,6.99,298.7544,0.5823875,6.99,302.9474,0.5824125,,,,,,,6.99,293.6204,0.582375
,,,7,298.9292,0.583225,7,303.0872,0.5832625,,,,,,,7,293.7571,0.5832
,,,7.01,299.0913,0.5840625,7.01,303.2398,0.5841,,,,,,,7.01,293.9193,0.584025
,,,7.02,299.2344,0.5849,7.02,303.386,0.584925,,,,,,,7.02,294.0845,0.5848625
,,,7.03,299.3584,0.585775,7.03,303.5068,0.58575,,,,,,,7.03,294.2308,0.5857
,,,7.04,298.0105,0.5866625,7.04,303.6181,0.586575,,,,,,,7.04,294.3675,0.58655
,,,7.05,284.2394,0.587475,7.05,303.7294,0.5874,,,,,,,7.05,294.501,0.5874
,,,7.06,236.6734,0.5882625,7.06,303.8343,0.5882125,,,,,,,7.06,294.6409,0.5882375
,,,7.07,152.4607,0.5890625,7.07,303.9297,0.58905,,,,,,,7.07,294.7776,0.5890625
,,,7.08,66.98927,0.589875,7.08,304.0409,0.5899,,,,,,,7.08,294.9079,0.5899
,,,7.09,17.13753,0.5907,7.09,304.184,0.59075,,,,,,,7.09,295.0446,0.590725
,,,7.1,1.967748,0.5914875,7.1,304.3238,0.5915875,,,,,,,7.1,295.1813,0.59155
,,,7.11,0.1207987,0.5918125,7.11,304.4573,0.592425,,,,,,,7.11,295.3116,0.5924
,,,7.12,0.01271566,0.591925,7.12,304.5718,0.59325,,,,,,,7.12,295.4229,0.593225
,,,,,,7.13,304.6894,0.594075,,,,,,,7.13,295.5309,0.5940625
,,,,,,7.14,304.8007,0.5948875,,,,,,,7.14,295.6359,0.5949125
,,,,,,7.15,304.9119,0.595725,,,,,,,7.15,295.7567,0.5957375
,,,,,,7.16,305.0327,0.5965625,,,,,,,7.16,295.8838,0.596575
,,,,,,7.17,305.1631,0.5973875,,,,,,,7.17,296.0142,0.5974
,,,,,,7.18,305.2934,0.598225,,,,,,,7.18,296.1508,0.598225
,,,,,,7.19,305.4047,0.59905,,,,,,,7.19,296.2939,0.5990375
,,,,,,7.2,305.5032,0.5998875,,,,,,,7.2,296.4179,0.5998625
,,,,,,7.21,305.6017,0.600725,,,,,,,7.21,296.5291,0.6006875
,,,,,,7.22,305.7098,0.60155,,,,,,,7.22,296.6213,0.6015125
,,,,,,7.23,305.8116,0.602375,,,,,,,7.23,296.6976,0.6023625
,,,,,,7.24,305.9165,0.6032,,,,,,,7.24,296.7834,0.6032125
,,,,,,7.25,306.0309,0.6040375,,,,,,,7.25,296.8852,0.60405
,,,,,,7.26,306.1581,0.6048625,,,,,,,7.26,296.9837,0.6048875
,,,,,,7.27,306.2757,0.6057,,,,,,,7.27,297.1045,0.605725
,,,,,,7.28,306.387,0.6065375,,,,,,,7.28,297.2666,0.6065625
,,,,,,7.29,306.5078,0.6073875,,,,,,,7.29,297.4351,0.607375
,,,,,,7.3,306.6381,0.6082375,,,,,,,7.3,297.5909,0.608225
,,,,,,7.31,306.7684,0.609075,,,,,,,7.31,297.7212,0.609075
,,,,,,7.32,306.8956,0.6099,,,,,,,7.32,297.8388,0.6099
,,,,,,7.33,307.0227,0.6107375,,,,,,,7.33,297.9406,0.6107375
,,,,,,7.34,307.1435,0.61155,,,,,,,7.34,298.0359,0.6115875
,,,,,,7.35,307.2548,0.6124,,,,,,,7.35,298.1472,0.612425
,,,,,,7.36,307.3565,0.6132375,,,,,,,7.36,298.268,0.6132625
,,,,,,7.37,307.4519,0.6140625,,,,,,,7.37,298.3983,0.6141
,,,,,,7.38,307.5536,0.6149,,,,,,,7.38,298.535,0.614925
,,,,,,7.39,307.6649,0.6157375,,,,,,,7.39,298.6558,0.6157375
,,,,,,7.4,307.7761,0.6165625,,,,,,,7.4,298.7639,0.6165625
,,,,,,7.41,307.8906,0.6174125,,,,,,,7.41,298.8593,0.617375
,,,,,,7.42,308.0114,0.6182375,,,,,,,7.42,298.9388,0.6182125
,,,,,,7.43,308.129,0.6190625,,,,,,,7.43,299.0055,0.6190625
,,,,,,7.44,308.2434,0.6198875,,,,,,,7.44,299.0595,0.6199
,,,,,,7.45,308.342,0.6207125,,,,,,,7.45,299.1517,0.6207375
,,,,,,7.46,308.4055,0.621525,,,,,,,7.46,299.2789,0.621575
,,,,,,7.47,308.4723,0.6223625,,,,,,,7.47,299.4251,0.6224125
,,,,,,7.48,308.5581,0.6232,,,,,,,7.48,299.5714,0.6232375
,,,,,,7.49,308.6853,0.62405,,,,,,,7.49,299.708,0.62405
,,,,,,7.5,308.822,0.6249,,,,,,,7.5,299.813,0.6249
,,,,,,7.51,308.9587,0.6257375,,,,,,,7.51,299.8893,0.625725
,,,,,,7.52,309.0795,0.626575,,,,,,,7.52,299.9592,0.6265625
,,,,,,7.53,309.178,0.6274,,,,,,,7.53,300.0355,0.6274
,,,,,,7.54,309.2702,0.628225,,,,,,,7.54,300.1213,0.6282375
,,,,,,7.55,309.3719,0.6290625,,,,,,,7.55,300.223,0.629075
,,,,,,7.56,309.4832,0.6299,,,,,,,7.56,300.3502,0.6299125
,,,,,,7.57,309.5786,0.6307375,,,,,,,7.57,300.4901,0.6307375
,,,,,,7.58,309.6549,0.631575,,,,,,,7.58,300.6268,0.63155
,,,,,,7.59,309.7312,0.6324125,,,,,,,7.59,300.7444,0.632375
,,,,,,7.6,309.8297,0.63325,,,,,,,7.6,300.8493,0.6332125
,,,,,,7.61,309.9378,0.634075,,,,,,,7.61,300.9415,0.6340375
,,,,,,7.62,310.0427,0.6349125,,,,,,,7.62,301.0273,0.634875
,,,,,,7.63,310.1444,0.6357375,,,,,,,7.63,301.1227,0.6357125
,,,,,,7.64,310.2462,0.63655,,,,,,,7.64,301.2244,0.6365625
,,,,,,7.65,310.3574,0.637375,,,,,,,7.65,301.3229,0.6374
,,,,,,7.66,310.4623,0.6382,,,,,,,7.66,301.431,0.6382375
,,,,,,7.67,310.5545,0.639025,,,,,,,7.67,301.5359,0.6390625
,,,,,,7.68,310.6403,0.6398625,,,,,,,7.68,301.644,0.6398875
,,,,,,7.69,310.7262,0.6407125,,,,,,,7.69,301.733,0.6407125
,,,,,,7.7,310.8056,0.6415625,,,,,,,7.7,301.8157,0.64155
,,,,,,7.71,310.8978,0.6424,,,,,,,7.71,301.8951,0.6423875
,,,,,,7.72,311.0186,0.643225,,,,,,,7.72,301.9905,0.6432125
,,,,,,7.73,311.1585,0.6440625,,,,,,,7.73,302.1113,0.64405
,,,,,,7.74,311.2952,0.644875,,,,,,,7.74,302.2289,0.6448875
,,,,,,7.75,311.416,0.645725,,,,,,,7.75,302.3243,0.645725
,,,,,,7.76,311.5241,0.6465625,,,,,,,7.76,302.4101,0.6465625
,,,,,,7.77,311.594,0.6473875,,,,,,,7.77,302.5118,0.6474
,,,,,,7.78,311.6544,0.648225,,,,,,,7.78,302.6168,0.648225
,,,,,,7.79,311.7466,0.649075,,,,,,,7.79,302.7185,0.64905
,,,,,,7.8,311.861,0.6499125,,,,,,,7.8,302.8234,0.649875
,,,,,,7.81,311.9723,0.6507375,,,,,,,7.81,302.9219,0.6507
,,,,,,7.82,312.0581,0.6515625,,,,,,,7.82,303.0014,0.651525
,,,,,,7.83,312.1313,0.6524,,,,,,,7.83,303.0523,0.652375
,,,,,,7.84,312.2012,0.653225,,,,,,,7.84,303.1031,0.6532125
,,,,,,7.85,312.3029,0.6540375,,,,,,,7.85,303.1731,0.6540625
,,,,,,7.86,312.4332,0.6548625,,,,,,,7.86,303.2589,0.6549125
,,,,,,7.87,312.554,0.6557,,,,,,,7.87,303.3447,0.6557375
,,,,,,7.88,312.6589,0.6565375,,,,,,,7.88,303.4369,0.6565625
,,,,,,7.89,312.7321,0.657375,,,,,,,7.89,303.5355,0.6573875
