R1B2_1,,,R1B2_2,,,R1B2_3,,,R1R2_1,,,R1R2_2,,,R1R2_3,,
Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse
sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm
0.34,12.37551,0.0282375,0.34,17.24879,0.028225,0.34,17.95133,0.0282125,0.34,19.6298,0.0282,0.34,16.26968,0.0282,0.34,18.46313,0.028225
0.35,12.53764,0.029075,0.35,17.78921,0.0290625,0.35,18.63798,0.02905,0.35,20.38638,0.02905,0.35,16.44135,0.0290375,0.35,19.12753,0.0290625
0.36,12.65844,0.0299125,0.36,18.29465,0.0298875,0.36,19.29601,0.0298875,0.36,21.13342,0.0298875,0.36,16.63208,0.0298875,0.36,19.82053,0.0299125
0.37,12.73791,0.03075,0.37,18.74606,0.0307,0.37,19.94769,0.030725,0.37,21.86775,0.030725,0.37,16.87686,0.030725,0.37,20.51353,0.0307375
0.38,12.78877,0.0315875,0.38,19.15932,0.0315375,0.38,20.62798,0.0315625,0.38,22.60526,0.0315625,0.38,17.18521,0.0315625,0.38,21.19064,0.03155
0.39,12.83963,0.0324125,0.39,19.58847,0.032375,0.39,21.33051,0.0324,0.39,23.33641,0.0324125,0.39,17.51264,0.0324,0.39,21.87093,0.0323875
0.4,12.90003,0.03325,0.4,20.05259,0.0332125,0.4,22.03306,0.0332375,0.4,24.08028,0.03325,0.4,17.81146,0.0332125,0.4,22.5544,0.0332
0.41,12.96997,0.034075,0.41,20.52943,0.03405,0.41,22.7197,0.0340625,0.41,24.83368,0.034075,0.41,18.07213,0.0340375,0.41,23.23151,0.034025
0.42,13.03037,0.0349,0.42,20.9713,0.0348875,0.42,23.39363,0.0349,0.42,25.58072,0.0349125,0.42,18.32962,0.0348875,0.42,23.91179,0.0348625
0.43,13.07805,0.035725,0.43,21.3623,0.035725,0.43,24.05485,0.035725,0.43,26.34366,0.0357375,0.43,18.61254,0.0357125,0.43,24.6048,0.0357
0.44,13.11302,0.03655,0.44,21.73424,0.03655,0.44,24.71606,0.03655,0.44,27.1066,0.0365625,0.44,18.92726,0.03655,0.44,25.2978,0.03655
0.45,13.14799,0.0373875,0.45,22.12524,0.0373875,0.45,25.37727,0.037375,0.45,27.85365,0.037375,0.45,19.24515,0.0373875,0.45,25.96537,0.0374
0.46,13.16706,0.0382375,0.46,22.51943,0.0382125,0.46,26.0512,0.0382,0.46,28.58162,0.0382,0.46,19.53761,0.038225,0.46,26.61069,0.0382375
0.47,13.17342,0.039075,0.47,22.91361,0.03905,0.47,26.73149,0.039025,0.47,29.28416,0.039025,0.47,19.82689,0.0390625,0.47,27.27826,0.0390625
0.48,13.18932,0.039925,0.48,23.28237,0.039875,0.48,27.41814,0.039875,0.48,29.98988,0.0398625,0.48,20.13524,0.0399,0.48,27.96809,0.0398875
0.49,13.22746,0.0407625,0.49,23.61933,0.0406875,0.49,28.1016,0.0407125,0.49,30.72739,0.0407,0.49,20.48174,0.040725,0.49,28.67699,0.0407125
0.5,13.28468,0.0415875,0.5,23.92769,0.041525,0.5,28.75646,0.041575,0.5,31.5094,0.04155,0.5,20.84732,0.0415625,0.5,29.38271,0.04155
0.51,13.32919,0.0424125,0.51,24.21697,0.0423625,0.51,29.43039,0.0424125,0.51,32.30413,0.0423875,0.51,21.19382,0.042375,0.51,30.1075,0.0423875
0.52,13.36416,0.0432375,0.52,24.484,0.0432,0.52,30.12657,0.0432375,0.52,33.06707,0.0432375,0.52,21.51807,0.0432,0.52,30.83865,0.043225
0.53,13.40548,0.044075,0.53,24.76056,0.04405,0.53,30.83865,0.0440625,0.53,33.78868,0.0440625,0.53,21.82643,0.044025,0.53,31.56026,0.044075
0.54,13.45952,0.0449,0.54,25.09117,0.0449,0.54,31.54119,0.0448875,0.54,34.50076,0.0448875,0.54,22.16975,0.0448625,0.54,32.27234,0.0449125
0.55,13.54535,0.0457375,0.55,25.44403,0.0457375,0.55,32.21194,0.045725,0.55,35.23827,0.0457125,0.55,22.55758,0.0457,0.55,32.97488,0.04575
0.56,13.6439,0.046575,0.56,25.77146,0.0465625,0.56,32.86362,0.04655,0.56,35.99803,0.0465625,0.56,22.96766,0.0465625,0.56,33.65834,0.046575
0.57,13.74245,0.0474125,0.57,26.07346,0.047375,0.57,33.50576,0.0473875,0.57,36.74825,0.0474125,0.57,23.37774,0.0474,0.57,34.3132,0.0474125
0.58,13.83464,0.04825,0.58,26.36909,0.0482125,0.58,34.16379,0.048225,0.58,37.47622,0.0482375,0.58,23.7751,0.0482375,0.58,34.98077,0.0482375
0.59,13.93,0.049075,0.59,26.67109,0.04905,0.59,34.82501,0.0490625,0.59,38.20419,0.0490875,0.59,24.19154,0.0490625,0.59,35.64835,0.04905
0.6,14.01583,0.0499,0.6,26.96355,0.0498875,0.6,35.47668,0.0499,0.6,38.92263,0.049925,0.6,24.63659,0.0498875,0.6,36.31592,0.049875
0.61,14.09213,0.050725,0.61,27.2433,0.050725,0.61,36.1379,0.0507375,0.61,39.6347,0.0507625,0.61,25.10071,0.050725,0.61,36.97713,0.0507
0.62,14.15889,0.0515375,0.62,27.50079,0.0515625,0.62,36.81501,0.0515625,0.62,40.34042,0.0516,0.62,25.55529,0.05155,0.62,37.62245,0.0515375
0.63,14.22882,0.0523625,0.63,27.74557,0.0524,0.63,37.48576,0.052375,0.63,41.06839,0.052425,0.63,25.98763,0.0523875,0.63,38.22327,0.052375
0.64,14.33055,0.0531875,0.64,28.00624,0.053225,0.64,38.13744,0.0532,0.64,41.79637,0.05325,0.64,26.41996,0.053225,0.64,38.73825,0.0532125
0.65,14.48631,0.054025,0.65,28.27644,0.0540625,0.65,38.75415,0.054025,0.65,42.51798,0.0540625,0.65,26.86183,0.0540625,0.65,39.10382,0.0540625
0.66,14.67705,0.0548625,0.66,28.56573,0.0548875,0.66,39.36132,0.05485,0.66,43.26184,0.054875,0.66,27.34184,0.0549,0.66,39.21827,0.0549
0.67,14.88686,0.0557125,0.67,28.86454,0.0557125,0.67,39.97167,0.0556875,0.67,43.99936,0.0557125,0.67,27.84411,0.0557375,0.67,38.97031,0.055725
0.68,15.11256,0.0565625,0.68,29.14747,0.0565375,0.68,40.60745,0.0565125,0.68,44.70189,0.05655,0.68,28.35274,0.0565625,0.68,38.35678,0.05655
0.69,15.34462,0.0574,0.69,29.38906,0.0573625,0.69,41.24959,0.05735,0.69,45.36629,0.0574,0.69,28.86772,0.0573875,0.69,37.54616,0.057375
