S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Déplacement[mm];
131;13.1001139199998;-0.0415556505322456;0.00150000001303852;-1.0890349149704;
132;13.2000153599993;-0.0429647639393806;0.00150000001303852;-1.09762787818909;
133;13.3000396799998;-0.0415290631353855;0.00139999995008111;-1.10594403743744;
134;13.4000639999995;-0.0446397550404072;0.0015999999595806;-1.11419522762299;
135;13.50008832;-0.041981041431427;0.00139999995008111;-1.12228357791901;
136;13.6001126399997;-0.0430711135268211;0.00150000001303852;-1.13025808334351;
137;13.7000140799992;-0.0420076288282871;0.00150000001303852;-1.13862311840057;
138;13.8000383999997;-0.0413695387542248;0.00150000001303852;-1.14716720581055;
139;13.9000627199994;-0.0437357909977436;0.0015999999595806;-1.15553224086761;
140;14.0000870399999;-0.0418481081724167;0.00130000000353903;-1.16410887241364;
141;14.1001113599996;-0.0428318306803703;0.0015999999595806;-1.1724739074707;
142;14.2000128;-0.0418215207755566;0.00139999995008111;-1.18093657493591;
143;14.3000371199996;-0.0434699207544327;0.00150000001303852;-1.18920397758484;
144;14.4000614399993;-0.0466072000563145;0.00139999995008111;-1.19717848300934;
145;14.5000857599998;-0.0402794666588306;0.00150000001303852;-1.20555973052979;
146;14.6001100799995;-0.0446397550404072;0.0015999999595806;-1.21394109725952;
147;14.7000115199999;-0.0424330234527588;0.00139999995008111;-1.22237122058868;
148;14.8000358399995;-0.0427254810929298;0.00150000001303852;-1.23099672794342;
149;14.9000601599992;-0.0428318306803703;0.00139999995008111;-1.23939430713654;
150;15.0000844799997;-0.0416088216006756;0.00150000001303852;-1.24777555465698;
151;15.1001087999994;-0.0433635711669922;0.00139999995008111;-1.25581514835358;
152;15.2000102399998;-0.042486198246479;0.00139999995008111;-1.26370823383331;
153;15.3000345599994;-0.0432838127017021;0.0015999999595806;-1.272057056427;
154;15.40005888;-0.0446397550404072;0.00139999995008111;-1.28050339221954;
155;15.5000831999996;-0.0420076288282871;0.0015999999595806;-1.28890109062195;
156;15.6001075199993;-0.0441877730190754;0.00139999995008111;-1.29751026630402;
157;15.7000089599997;-0.0413429513573647;0.00150000001303852;-1.30592405796051;
158;15.8000332799993;-0.040864385664463;0.00150000001303852;-1.31419146060944;
159;15.9000575999999;-0.0435230955481529;0.00139999995008111;-1.32234501838684;
160;16.0000819199995;-0.0436560288071632;0.00150000001303852;-1.33033573627472;
161;16.1001062399992;-0.0414758883416653;0.00139999995008111;-1.33866822719574;
162;16.2000076799995;-0.0395882017910481;0.0015999999595806;-1.347163438797;
163;16.3000319999992;-0.0455171279609203;0.00139999995008111;-1.35560989379883;
164;16.4000563199997;-0.0431242883205414;0.00139999995008111;-1.36423528194427;
165;16.5000806399994;-0.0440548360347748;0.00170000002253801;-1.3725026845932;
166;16.60010496;-0.0441611856222153;0.00139999995008111;-1.38073754310608;
167;16.7000063999994;-0.0438687279820442;0.0015999999595806;-1.38890731334686;
168;16.80003072;-0.042193740606308;0.00130000000353903;-1.39696311950684;
169;16.9000550399996;-0.0410239063203335;0.0015999999595806;-1.40534448623657;
170;17.0000793599993;-0.0445599928498268;0.00150000001303852;-1.4137909412384;
171;17.1001036799998;-0.0518980324268341;0.00150000001303852;-1.42218852043152;
172;17.2000051199993;-0.0497710667550564;0.0015999999595806;-1.43079769611359;
173;17.3000294399999;-0.0534932613372803;0.00139999995008111;-1.4390162229538;
174;17.4000537599995;-0.05344008654356;0.0015999999595806;-1.44729995727539;
175;17.5000780799992;-0.0558063387870789;0.00139999995008111;-1.45538830757141;
176;17.6001023999997;-0.0569495856761932;0.00150000001303852;-1.46342790126801;
177;17.7000038399992;-0.0519777946174145;0.0015999999595806;-1.47180914878845;
178;17.8000281599998;-0.052084144204855;0.00139999995008111;-1.48041832447052;
179;17.9000524799994;-0.0567368865013123;0.00150000001303852;-1.4888973236084;
180;18.0000768;-0.0530146919190884;0.00130000000353903;-1.49752271175385;
181;18.1001011199996;-0.0525361262261868;0.00150000001303852;-1.50587153434753;
182;18.20000256;-0.0538388937711716;0.00139999995008111;-1.51435053348541;
183;18.3000268799997;-0.0533337369561195;0.00150000001303852;-1.52247142791748;
184;18.4000511999993;-0.053705956786871;0.0015999999595806;-1.53039705753326;
185;18.5000755199999;-0.0554872937500477;0.00130000000353903;-1.53874588012695;
186;18.6000998399995;-0.0539186522364616;0.0015999999595806;-1.5471271276474;
187;18.7000012799999;-0.0553277693688869;0.00139999995008111;-1.5555248260498;
188;18.8000255999996;-0.0534666739404202;0.00150000001303852;-1.56413388252258;
189;18.9000499199992;-0.0554341189563274;0.00150000001303852;-1.57249903678894;
190;19.0000742399998;-0.0538920685648918;0.00150000001303852;-1.58078265190125;
191;19.1000985599994;-0.0514194667339325;0.00150000001303852;-1.58890354633331;
192;19.20012288;-0.0553277693688869;0.00139999995008111;-1.59687805175781;
193;19.3000243199995;-0.052084144204855;0.00170000002253801;-1.60524308681488;
194;19.40004864;-0.052881758660078;0.00139999995008111;-1.61375463008881;
195;19.5000729599997;-0.0566039532423019;0.00150000001303852;-1.62221729755402;
196;19.6000972799993;-0.0542908720672131;0.00139999995008111;-1.63084280490875;
197;19.7001215999999;-0.054211113601923;0.00150000001303852;-1.63909387588501;
198;19.8000230399994;-0.0547428540885448;0.00150000001303852;-1.64732873439789;
199;19.9000473599999;-0.0554075315594673;0.00139999995008111;-1.65543341636658;
200;20.0000716799996;-0.0536261945962906;0.00150000001303852;-1.66334271430969;
201;20.1000959999992;-0.0587840937077999;0.00150000001303852;-1.67180550098419;
202;20.2001203199998;-0.053147628903389;0.00150000001303852;-1.68021929264069;
203;20.3000217599993;-0.0525095388293266;0.00150000001303852;-1.68871462345123;
204;20.4000460799998;-0.0548226162791252;0.00139999995008111;-1.69724237918854;
205;20.5000703999995;-0.0563646666705608;0.0015999999595806;-1.70552599430084;
206;20.60009472;-0.0537325441837311;0.00139999995008111;-1.71372830867767;
207;20.7001190399997;-0.0548492036759853;0.00150000001303852;-1.72210967540741;
208;20.8000204799991;-0.0517916865646839;0.00139999995008111;-1.73023056983948;
209;20.9000447999997;-0.0505952648818493;0.0015999999595806;-1.73857939243317;
210;21.0000691199994;-0.0502230450510979;0.00150000001303852;-1.74712347984314;
211;21.1000934399999;-0.0517650991678238;0.00150000001303852;-1.75560235977173;
212;21.2001177599996;-0.0520575568079948;0.00150000001303852;-1.76424407958984;
213;21.3000192;-0.0515258125960827;0.00150000001303852;-1.77257668972015;
214;21.4000435199996;-0.0533071495592594;0.00150000001303852;-1.78092539310455;
215;21.5000678399992;-0.0551416613161564;0.00150000001303852;-1.78894865512848;
216;21.6000921599998;-0.0528551712632179;0.00130000000353903;-1.79687428474426;
217;21.7001164799995;-0.0546630918979645;0.00150000001303852;-1.80523943901062;
218;21.8000179199998;-0.0540781766176224;0.00150000001303852;-1.81366956233978;
219;21.9000422399995;-0.0508877225220203;0.00139999995008111;-1.82209968566895;
220;22.0000665600001;-0.0549023784697056;0.00139999995008111;-1.83074140548706;
221;22.1000908799997;-0.0536261945962906;0.00150000001303852;-1.83905756473541;
222;22.2001151999993;-0.0561785586178303;0.00150000001303852;-1.84727621078491;
223;22.3000166399997;-0.0572952181100845;0.00139999995008111;-1.85539710521698;
224;22.4000409599994;-0.0530944541096687;0.0015999999595806;-1.86338782310486;
225;22.5000652799999;-0.0532805621623993;0.00139999995008111;-1.87178540229797;
226;22.6000895999996;-0.0517385117709637;0.00150000001303852;-1.88031327724457;
227;22.7001139199992;-0.0554872937500477;0.00150000001303852;-1.88879227638245;
228;22.8000153599996;-0.0547428540885448;0.00150000001303852;-1.89740133285522;
229;22.9000396799993;-0.0547428540885448;0.00139999995008111;-1.90557110309601;
230;23.0000639999998;-0.0575079135596752;0.00150000001303852;-1.91375720500946;
231;23.1000883199995;-0.0547162666916847;0.00150000001303852;-1.92195951938629;
232;23.20011264;-0.0544769838452339;0.00139999995008111;-1.92998278141022;
233;23.3000140799995;-0.0558861009776592;0.00150000001303852;-1.9384617805481;
234;23.4000383999992;-0.0543972216546535;0.00150000001303852;-1.94694066047668;
235;23.5000627199997;-0.0553809441626072;0.00139999995008111;-1.95540344715118;
236;23.6000870399994;-0.0569495856761932;0.0015999999595806;-1.96399629116058;
237;23.7001113599999;-0.0516321621835232;0.00139999995008111;-1.97234511375427;
