S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Déplacement[mm];
78;7.80005376000008;5.40776443481445;-0.000899999984540045;0.509779751300812;
79;7.90007808000018;5.44179582595825;-0.00209999992512167;0.516452252864838;
80;8.00010240000029;5.49882507324219;-0.00150000001303852;0.52390593290329;
81;8.10000384000023;5.55604076385498;-0.00130000000353903;0.531115531921387;
82;8.20002816000033;5.59188032150269;-0.00209999992512167;0.537918210029602;
83;8.30005247999998;5.65933179855347;-0.000600000028498471;0.545518338680267;
84;8.40007680000008;5.69136905670166;-0.0019000000320375;0.552190840244293;
85;8.50010112000018;5.7476806640625;-0.00170000002253801;0.559498071670532;
86;8.60000256000012;5.80295515060425;-0.00109999999403954;0.566577434539795;
87;8.70002688000022;5.84315490722656;-0.00249999994412065;0.573526620864868;
88;8.80005120000033;5.90454435348511;-0.00120000005699694;0.580866396427155;
89;8.90007551999997;5.93591737747192;-0.0020000000949949;0.587490081787109;
90;9.00009984000008;5.99664211273193;-0.00139999995008111;0.594797313213348;
91;9.10000128000002;6.0409893989563;-0.00109999999403954;0.60158371925354;
92;9.20002560000012;6.08860683441162;-0.0019000000320375;0.608728170394897;
93;9.30004992000022;6.15371894836426;-0.000300000014249235;0.61618185043335;
94;9.40007424000032;6.18445348739624;-0.00170000002253801;0.622903227806091;
95;9.50009855999997;6.24778413772583;-0.000899999984540045;0.63051962852478;
96;9.59999999999991;6.29550790786743;-0.000600000028498471;0.637485086917877;
97;9.70002432000001;6.336266040802;-0.00150000001303852;0.644499361515045;
98;9.80004864000011;6.40749263763428;0;0.652327358722687;
99;9.90007296000022;6.44168376922607;-0.000699999975040555;0.659081220626831;
100;10.0000972800003;6.49347543716431;-0.00039999998989515;0.666599988937378;
101;10.1001216;6.5618839263916;0.00100000004749745;0.674314081668854;
102;10.2000230399999;6.60104703903198;9.99999974737875E-05;0.681377172470093;
103;10.30004736;6.65065813064575;0.00039999998989515;0.688602983951569;
104;10.4000716800001;6.71289873123169;0.00150000001303852;0.696056663990021;
105;10.5000960000002;6.74445772171021;0.00039999998989515;0.702664077281952;
106;10.6001203200003;6.80877161026001;0.00120000005699694;0.710150361061096;
107;10.7000217600003;6.84851932525635;0.00150000001303852;0.716839134693146;
108;10.8000460799999;6.89813089370728;0.00120000005699694;0.723853409290314;
109;10.9000704;6.95912170410156;0.00249999994412065;0.731111764907837;
110;11.0000947200001;6.9932861328125;0.00130000000353903;0.737784266471863;
111;11.1001190400002;7.06142902374268;0.0031999999191612;0.745270490646362;
112;11.2000204800001;7.08990383148193;0.00209999992512167;0.751682639122009;
113;11.3000448000003;7.15900373458862;0.00289999996311963;0.759185135364532;
114;11.4000691199999;7.19718265533447;0.0031999999191612;0.76577627658844;
115;11.50009344;7.24929332733154;0.00270000007003546;0.773067235946655;
116;11.6001177600001;7.30307912826538;0.00419999985024333;0.779983818531036;
117;11.7000192;7.34367752075195;0.00310000008903444;0.78680282831192;
118;11.8000435200001;7.40985298156738;0.00499999988824129;0.794142603874207;
119;11.9000678400002;7.44194364547729;0.00419999985024333;0.800489604473114;
120;12.0000921599999;7.50870370864868;0.00549999997019768;0.807927012443542;
121;12.10011648;7.54060840606689;0.00540000014007092;0.814339101314545;
122;12.2000179199999;7.60112047195435;0.00540000014007092;0.821548700332642;
123;12.30004224;7.64286231994629;0.0063999998383224;0.82818865776062;
124;12.4000665600001;7.69433498382568;0.00549999997019768;0.835137844085693;
125;12.5000908800002;7.75809097290039;0.00719999987632036;0.84241247177124;
126;12.6001152000003;7.79074001312256;0.00609999988228083;0.848857164382935;
127;12.7000166400003;7.85832405090332;0.00779999978840351;0.856229484081268;
128;12.8000409599999;7.89365863800049;0.00700000021606684;0.862722992897034;
129;12.90006528;7.95326662063599;0.00810000021010637;0.870111525058746;
130;13.0000896000001;7.99487543106079;0.0082999998703599;0.876751482486725;
131;13.1001139200002;8.05086803436279;0.00800000037997961;0.883912265300751;
132;13.2000153600002;8.09864521026611;0.00920000020414591;0.890812575817108;
133;13.3000396800003;8.13998794555664;0.00810000021010637;0.897599041461945;
134;13.4000639999999;8.20690822601318;0.00989999994635582;0.904710948467255;
135;13.50008832;8.23838710784912;0.00879999995231628;0.911123096942902;
136;13.6001126400001;8.30862998962402;0.0108000002801418;0.918479084968567;
137;13.7000140800001;8.33558940887451;0.00980000011622906;0.924549460411072;
138;13.8000384000002;8.40753364562988;0.0115999998524785;0.9319868683815;
139;13.9000627200003;8.43497180938721;0.0108000002801418;0.938057243824005;
140;14.0000870399999;8.5037260055542;0.0121999997645617;0.945494651794434;
141;14.10011136;8.5424108505249;0.0119000002741814;0.951874196529388;
142;14.2000128;8.60486316680908;0.0126000000163913;0.959067523479462;
143;14.3000371200001;8.64293575286865;0.0131000000983477;0.965414524078369;
144;14.4000614400002;8.70525646209717;0.0135000003501773;0.972607791423798;
145;14.5000857600003;8.74994945526123;0.0144999995827675;0.979117572307587;
146;14.6001100799999;8.80251216888428;0.0143999997526407;0.986034214496613;
147;14.7000115200003;8.84946441650391;0.016100000590086;0.992560267448425;
148;14.80003584;8.90263938903809;0.0153999999165535;0.999590814113617;
149;14.9000601600001;8.95812606811523;0.0173000004142523;1.00637722015381;
150;15.0000844800002;9.00000095367432;0.0164000000804663;1.01309859752655;
151;15.1001088000003;9.06030082702637;0.0184000004082918;1.01998257637024;
152;15.2000102400002;9.10217475891113;0.0176999997347593;1.02655744552612;
153;15.3000345600003;9.16170406341553;0.0197000000625849;1.0334415435791;
154;15.40005888;9.19961738586426;0.0190999992191792;1.03986990451813;
155;15.5000832000001;9.2563009262085;0.0210999995470047;1.04660761356354;
156;15.6001075200002;9.2984676361084;0.0206000003963709;1.05311727523804;
157;15.7000089600001;9.35158920288086;0.0226000007241964;1.05967593193054;
158;15.8000332800002;9.39707946777344;0.0220999997109175;1.06623446941376;
159;15.9000576000003;9.44844532012939;0.0238000005483627;1.0727117061615;
160;16.00008192;9.49707317352295;0.0236000008881092;1.07953071594238;
161;16.1001062400001;9.54910469055176;0.0251000002026558;1.08592653274536;
162;16.20000768;9.60179996490479;0.0252000000327826;1.09276175498962;
163;16.3000320000001;9.64269065856934;0.0265999995172024;1.09912514686584;
164;16.4000563200002;9.70450592041016;0.0270000007003546;1.10615563392639;
165;16.5000806400003;9.74672603607178;0.0285000000149012;1.11264908313751;
166;16.60010496;9.79891681671143;0.0283000003546476;1.11937046051025;
167;16.7000063999999;9.84196090698242;0.029899999499321;1.12573373317719;
168;16.80003072;9.89883136749268;0.0296999998390675;1.13258528709412;
169;16.9000550400001;9.93528175354004;0.0306000001728535;1.13872075080872;
170;17.0000793600002;9.99627304077148;0.0307000000029802;1.14573502540588;
171;17.1001036800003;10.0303840637207;0.031199999153614;1.15177285671234;
172;17.2000051200002;10.101770401001;0.031700000166893;1.1591614484787;
173;17.3000294400003;10.1369981765747;0.0320000015199184;1.16528058052063;
174;17.40005376;10.2040777206421;0.0322999991476536;1.17260408401489;
175;17.5000780800001;10.2322063446045;0.032600000500679;1.17854428291321;
176;17.6001024000002;10.3045234680176;0.0329000018537045;1.18586778640747;
177;17.7000038400001;10.338475227356;0.033100001513958;1.1920520067215;
178;17.8000281600002;10.4015130996704;0.033100001513958;1.19916391372681;
179;17.9000524800003;10.4463653564453;0.0337000004947186;1.20568990707397;
180;18.0000768;10.5075426101685;0.0337000004947186;1.21268796920776;
181;18.1001011200001;10.5527410507202;0.034400001168251;1.21931159496307;
182;18.20000256;10.60280418396;0.0342000015079975;1.22611439228058;
