"CuivreC1",,,,"CuivreC1+N",,,,"AcierC70",,,
"Temps","Force","Stroke","Ext.1","Temps","Force","Stroke","Ext.1","Temps","Force","Stroke","Ext.1"
"sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm"
"0.48","302.0668","0.0398625","0.003560384","0.48","379.8517","0.039875","0.001589457","0.48","199.639","0.0399","0.002352397"
"0.49","306.8511","0.0407125","0.002352397","0.49","383.3262","0.0407","0.001589457","0.49","202.4523","0.040725","0.002352397"
"0.5","311.6385","0.0415375","0.001970927","0.5","386.7467","0.0415375","0.001589457","0.5","205.2212","0.04155","0.002352397"
"0.51","316.4228","0.0423625","0.001970927","0.51","390.1164","0.0423625","0.001589457","0.51","207.9455","0.042375","0.002352397"
"0.52","321.188","0.0431875","0.001144409","0.52","393.4161","0.0432","0.001589457","0.52","210.6158","0.0432","0.002352397"
"0.53","325.915","0.0440125","0.001970927","0.53","396.6649","0.0440375","0.001589457","0.53","213.2575","0.0440125","0.001970927"
"0.54","330.6135","0.0448375","0.001589457","0.54","399.8979","0.0448875","0.001589457","0.54","215.8705","0.04485","0.001970927"
"0.55","335.2801","0.0456625","0.001589457","0.55","403.1245","0.045725","0.001970927","0.55","218.4582","0.045675","0.001589457"
"0.56","339.9086","0.0465","0.001970927","0.56","406.3288","0.0465625","0.001589457","0.56","221.0172","0.046525","0.001589457"
"0.57","344.5021","0.04735","0.002733866","0.57","409.5109","0.047375","0.001589457","0.57","223.5635","0.0473625","0.001970927"
"0.58","349.067","0.0482","0.003941854","0.58","412.6867","0.0482","0.001970927","0.58","226.1003","0.0482125","0.002352397"
"0.59","353.6352","0.0490625","0.003941854","0.59","415.8497","0.049025","0.001970927","0.59","228.6402","0.04905","0.002352397"
"0.6","358.2096","0.0499","0.002352397","0.6","418.9809","0.04985","0.001970927","0.6","231.1834","0.049875","0.001970927"
"0.61","362.8063","0.050725","0.001589457","0.61","422.0645","0.050675","0.002352397","0.61","233.717","0.0507","0.001970927"
"0.62","367.4094","0.05155","0.0007629395","0.62","425.0749","0.0515125","0.002352397","0.62","236.2474","0.051525","0.002352397"
"0.63","371.9902","0.052375","0.0007629395","0.63","428.0345","0.0523625","0.002352397","0.63","238.7746","0.0523625","0.002352397"
"0.64","376.5424","0.053225","0.001970927","0.64","430.9813","0.0532125","0.001970927","0.64","241.2891","0.0532","0.001970927"
"0.65","381.0533","0.054075","0.002352397","0.65","433.9441","0.05405","0.001970927","0.65","243.7814","0.0540375","0.001970927"
"0.66","385.5356","0.0549","0.002352397","0.66","436.9354","0.0548875","0.002352397","0.66","246.261","0.054875","0.001589457"
"0.67","390.0019","0.05575","0.002352397","0.67","439.9268","0.0557125","0.002352397","0.67","248.7278","0.055725","0.001589457"
"0.68","394.4524","0.0565875","0.002352397","0.68","442.8927","0.0565375","0.002352397","0.68","251.1851","0.0565625","0.001589457"
"0.69","398.8902","0.057425","0.002352397","0.69","445.7919","0.057375","0.002733866","0.69","253.6456","0.0574","0.001589457"
"0.7","403.3184","0.05825","0.002733866","0.7","448.6306","0.0582125","0.002733866","0.7","256.1124","0.058225","0.001970927"
"0.71","407.7466","0.0590625","0.002352397","0.71","451.4281","0.05905","0.002352397","0.71","258.557","0.05905","0.002352397"
"0.72","412.1685","0.0598875","0.002352397","0.72","454.2033","0.059875","0.002733866","0.72","260.9571","0.0598875","0.002352397"
"0.73","416.5618","0.0607125","0.001970927","0.73","456.9467","0.060725","0.002733866","0.73","263.3158","0.0607125","0.002352397"
"0.74","420.9105","0.0615375","0.001970927","0.74","459.6774","0.06155","0.002733866","0.74","265.6492","0.0615375","0.002733866"
"0.75","425.2275","0.06235","0.003178914","0.75","462.4208","0.0623875","0.003178914","0.75","267.9539","0.062375","0.002733866"
"0.76","429.4999","0.06318749","0.004323324","0.76","465.1578","0.063225","0.003560384","0.76","270.2204","0.063225","0.002733866"
"0.77","433.7597","0.0640375","0.004323324","0.77","467.8663","0.06405","0.003178914","0.77","272.4743","0.064075","0.002352397"
"0.78","438.0004","0.064875","0.003560384","0.78","470.5588","0.064875","0.003178914","0.78","274.7377","0.0649125","0.002352397"
"0.79","442.2506","0.0657125","0.002733866","0.79","473.2418","0.0657","0.003560384","0.79","277.0201","0.06575","0.002352397"
"0.8","446.5135","0.06655","0.002352397","0.8","475.893","0.066525","0.003560384","0.8","279.309","0.066575","0.001589457"
"0.81","450.8241","0.067375","0.002352397","0.81","478.5061","0.06735","0.003560384","0.81","281.6041","0.0673875","0.001589457"
