Brut 1,,,Brut 2,,,Recuit,,,Recuit test 250°C,,,Etiré test amb,,,Etiré test 250°C,,
Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse
sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm
10.03,153.7037,0.8357249,10.03,367.4253,0.8357249,10.03,363.3277,0.8357249,10.03,324.9741,0.8357125,,,,10.03,193.0523,0.83575
10.04,154.7782,0.8365875,10.04,368.2963,0.836575,10.04,364.3195,0.8365375,10.04,324.9804,0.83655,,,,10.04,193.1477,0.8365875
10.05,155.8844,0.837425,10.05,369.1896,0.8374125,10.05,365.2795,0.837375,10.05,324.9645,0.8373875,,,,10.05,193.278,0.837425
10.06,157.0225,0.8382625,10.06,370.0988,0.83825,10.06,366.2014,0.838225,10.06,324.9486,0.8382375,,,,10.06,193.3448,0.8382375
10.07,158.1605,0.8391,10.07,371.0016,0.8390875,10.07,367.1233,0.83905,10.07,324.9645,0.839075,,,,10.07,193.3893,0.8390625
10.08,159.2922,0.83995,10.08,371.9076,0.839925,10.08,368.0579,0.8398875,10.08,324.9963,0.8399125,,,,10.08,193.4973,0.8399125
10.09,160.408,0.840775,10.09,372.8326,0.8407375,10.09,368.9925,0.840725,10.09,325.0217,0.8407375,,,,10.09,193.6118,0.8407375
10.1,161.4984,0.8416,10.1,373.7672,0.841575,10.1,369.9303,0.841575,10.1,325.0408,0.84155,,,,10.1,193.6531,0.8415624
10.11,162.5919,0.8424375,10.11,374.6923,0.842425,10.11,370.849,0.8424,10.11,325.0758,0.842375,,,,10.11,193.6626,0.8424125
10.12,163.6855,0.84325,10.12,375.5919,0.84325,10.12,371.7486,0.8432375,10.12,325.0917,0.8432125,,,,10.12,193.7548,0.8432375
10.13,164.7886,0.844075,10.13,376.4852,0.8440875,10.13,372.6387,0.8440625,10.13,325.0663,0.84405,,,,10.13,193.9011,0.844075
10.14,165.8789,0.8449,10.14,377.3785,0.844925,10.14,373.5542,0.844875,10.14,325.0313,0.844875,,,,10.14,193.9869,0.8449125
10.15,166.9757,0.845725,10.15,378.2527,0.845775,10.15,374.4888,0.8457,10.15,325.0313,0.8457125,,,,10.15,194.0123,0.84575
10.16,168.0787,0.846575,10.16,379.1014,0.8466,10.16,375.4171,0.846525,10.16,325.0567,0.84655,,,,10.16,194.0791,0.8465625
10.17,169.1786,0.8474125,10.17,379.9502,0.8474375,10.17,376.3072,0.84735,10.17,325.0726,0.8473875,,,,10.17,194.184,0.8473875
10.18,170.2944,0.8482625,10.18,380.8307,0.8482625,10.18,377.1686,0.8482,10.18,325.0758,0.8482125,,,,10.18,194.2285,0.848225
10.19,171.4261,0.8491,10.19,381.7145,0.849075,10.19,378.0238,0.8490375,10.19,325.0758,0.8490375,,,,10.19,194.2094,0.8490375
10.2,172.5642,0.849925,10.2,382.5823,0.8499,10.2,378.8885,0.8498875,10.2,325.0917,0.8498625,,,,10.2,194.2285,0.849875
10.21,173.7054,0.85075,10.21,383.412,0.850725,10.21,379.7626,0.8507125,10.21,325.1171,0.8507,,,,10.21,194.3207,0.8507
10.22,174.853,0.8515625,10.22,384.2195,0.85155,10.22,380.6496,0.85155,10.22,325.1425,0.8515375,,,,10.22,194.397,0.8515625
10.23,175.9942,0.8524125,10.23,385.0301,0.8523875,10.23,381.5428,0.852375,10.23,325.168,0.85235,,,,10.23,194.4351,0.8524
10.24,177.11,0.85325,10.24,385.8376,0.8532375,10.24,382.4234,0.8532,10.24,325.1775,0.8531875,,,,10.24,194.5114,0.8532375
10.25,178.2131,0.854075,10.25,386.6418,0.8540875,10.25,383.2722,0.85405,10.25,325.1616,0.854025,,,,10.25,194.6322,0.854075
10.26,179.313,0.854925,10.26,387.4525,0.854925,10.26,384.1146,0.8548875,10.26,325.133,0.854875,,,,10.26,194.6926,0.8549
10.27,180.4256,0.85575,10.27,388.2821,0.8557625,10.27,384.9602,0.855725,10.27,325.133,0.855725,,,,10.27,194.6926,0.8557125
10.28,181.551,0.8565875,10.28,389.1214,0.8565875,10.28,385.8185,0.8565625,10.28,325.1616,0.8565625,,,,10.28,194.7435,0.85655
10.29,182.689,0.8574375,10.29,389.9511,0.8574,10.29,386.6768,0.8574,10.29,325.187,0.8574,,,,10.29,194.877,0.8573875
10.3,183.8207,0.85825,10.3,390.7776,0.85825,10.3,387.5414,0.8582375,10.3,325.1839,0.858225,,,,10.3,194.9819,0.858225
10.31,184.9588,0.859075,10.31,391.6168,0.8590875,10.31,388.3934,0.859075,10.31,325.1839,0.85905,,,,10.31,195.0137,0.8590625
10.32,186.0905,0.8599,10.32,392.4592,0.8599125,10.32,389.239,0.8599125,10.32,325.1934,0.8598875,,,,10.32,195.0518,0.8599
10.33,187.1999,0.860725,10.33,393.2889,0.860775,10.33,390.0623,0.8607375,10.33,325.2125,0.860725,,,,10.33,195.144,0.8607375
10.34,188.3062,0.86155,10.34,394.0773,0.8616,10.34,390.8889,0.86155,10.34,325.222,0.86155,,,,10.34,195.1981,0.861575
10.35,189.4252,0.862375,10.35,394.8657,0.86245,10.35,391.7281,0.862375,10.35,325.2443,0.8623875,,,,10.35,195.2108,0.8624
10.36,190.541,0.863225,10.36,395.6636,0.863275,10.36,392.5737,0.8631999,10.36,325.2824,0.863225,,,,10.36,195.2839,0.8632375
10.37,191.6631,0.864075,10.37,396.4678,0.8641125,10.37,393.3843,0.864025,10.37,325.3047,0.8640625,,,,10.37,195.4428,0.86405
10.38,192.798,0.864925,10.38,397.2594,0.8649375,10.38,394.1695,0.8648625,10.38,325.292,0.8649,,,,10.38,195.5382,0.864875
10.39,193.9615,0.86575,10.39,398.0732,0.86575,10.39,394.961,0.8657125,10.39,325.292,0.865725,,,,10.39,195.5128,0.8657
10.4,195.1281,0.8665875,10.4,398.887,0.866575,10.4,395.7589,0.8665625,10.4,325.3174,0.8665625,,,,10.4,195.5223,0.8665375
10.41,196.2916,0.8674125,10.41,399.6849,0.8673875,10.41,396.5314,0.8673875,10.41,325.3396,0.867375,,,,10.41,195.6399,0.8673875
10.42,197.4487,0.868225,10.42,400.4447,0.868225,10.42,397.2657,0.868225,10.42,325.3428,0.8682,,,,10.42,195.7289,0.868225
10.43,198.5931,0.869075,10.43,401.1917,0.869075,10.43,398.0128,0.8690625,10.43,325.3428,0.869025,,,,10.43,195.7258,0.869075
10.44,199.7248,0.8699,10.44,401.9451,0.8699125,10.44,398.8107,0.869875,10.44,325.3492,0.86985,,,,10.44,195.713,0.8699125
10.45,200.8438,0.8707375,10.45,402.6953,0.8707625,10.45,399.6309,0.8707,10.45,325.3428,0.8707,,,,10.45,195.8052,0.87075
10.46,201.9532,0.871575,10.46,403.4487,0.8716,10.46,400.4383,0.87155,10.46,325.3301,0.87155,,,,10.46,195.9101,0.871575
10.47,203.069,0.8724125,10.47,404.2085,0.872425,10.47,401.2108,0.8723875,10.47,325.3301,0.8724,,,,10.47,195.9483,0.8723875
10.48,204.2166,0.87325,10.48,404.981,0.87325,10.48,401.9515,0.8732125,10.48,325.3651,0.873225,,,,10.48,195.961,0.8732375
10.49,205.3992,0.8740875,10.49,405.7598,0.8740625,10.49,402.6858,0.87405,10.49,325.4032,0.8740625,,,,10.49,196.0341,0.874075
10.5,206.5881,0.8749125,10.5,406.5355,0.8749,10.5,403.417,0.8749,10.5,325.4413,0.8748875,,,,10.5,196.1072,0.8749
10.51,207.7548,0.87575,10.51,407.3111,0.8757625,10.51,404.1449,0.8757375,10.51,325.47,0.8757125,,,,10.51,196.1199,0.8757375
10.52,208.9119,0.8765625,10.52,408.0582,0.8765875,10.52,404.8633,0.876575,10.52,325.5113,0.87655,,,,10.52,196.1231,0.876575
10.53,210.0786,0.8773875,10.53,408.7798,0.877425,10.53,405.5945,0.8774,10.53,325.5463,0.8773875,,,,10.53,196.209,0.8774125
10.54,211.2357,0.8782125,10.54,409.4982,0.8782625,10.54,406.3543,0.878225,10.54,325.5653,0.878225,,,,10.54,196.3266,0.87825
10.55,212.361,0.87905,10.55,410.2357,0.8791,10.55,407.1204,0.8790375,10.55,325.5971,0.8790625,,,,10.55,196.3647,0.879075
10.56,213.4673,0.8799,10.56,410.9732,0.879925,10.56,407.8833,0.8798625,10.56,325.6321,0.8799,,,,10.56,196.3774,0.8799
10.57,214.5799,0.8807375,10.57,411.7044,0.8807625,10.57,408.6176,0.8807,10.57,325.6321,0.8807375,,,,10.57,196.4633,0.8807375
10.58,215.718,0.8815875,10.58,412.4292,0.8816,10.58,409.317,0.8815375,10.58,325.5971,0.8815625,,,,10.58,196.5682,0.8815625
10.59,216.8687,0.882425,10.59,413.154,0.882425,10.59,410.0196,0.8824125,10.59,325.5526,0.8824,,,,10.59,196.5841,0.8823875
10.6,218.0322,0.8832625,10.6,413.8724,0.8832375,10.6,410.7316,0.88325,10.6,325.5272,0.883225,,,,10.6,196.5618,0.8832
10.61,219.183,0.884075,10.61,414.575,0.8840625,10.61,411.4342,0.8840875,10.61,325.5113,0.8840375,,,,10.61,196.6349,0.88405
10.62,220.3147,0.8849,10.62,415.2584,0.8849,10.62,412.1113,0.8849125,10.62,325.5145,0.8848625,,,,10.62,196.7494,0.8849
10.63,221.4368,0.88575,10.63,415.9482,0.88575,10.63,412.7884,0.8857375,10.63,325.5526,0.8856875,,,,10.63,196.7812,0.88575
10.64,222.578,0.886575,10.64,416.6508,0.8866,10.64,413.4719,0.8865499,10.64,325.613,0.886525,,,,10.64,196.7462,0.886575
10.65,223.7415,0.8874125,10.65,417.3533,0.8874375,10.65,414.168,0.8873875,10.65,325.6512,0.8873625,,,,10.65,196.7907,0.887425
10.66,224.9177,0.88825,10.66,418.0463,0.888275,10.66,414.8706,0.888225,10.66,325.6416,0.8882125,,,,10.66,196.9051,0.88825
10.67,226.0939,0.8890875,10.67,418.7488,0.889125,10.67,415.5636,0.88905,10.67,325.613,0.88905,,,,10.67,196.9783,0.889075
10.68,227.2574,0.889925,10.68,419.4609,0.8899375,10.68,416.2248,0.8899,10.68,325.5971,0.8898875,,,,10.68,197.0132,0.8899
10.69,228.4082,0.8907624,10.69,420.173,0.8907624,10.69,416.8765,0.890725,10.69,325.5908,0.8907125,,,,10.69,197.0895,0.8907375
10.7,229.5653,0.8916,10.7,420.8755,0.8915875,10.7,417.5409,0.8915625,10.7,325.6067,0.89155,,,,10.7,197.1881,0.8915625
10.71,230.7224,0.8924125,10.71,421.559,0.892425,10.71,418.2148,0.8923874,10.71,325.6671,0.892375,,,,10.71,197.2103,0.8924
10.72,231.87,0.8932375,10.72,422.2393,0.89325,10.72,418.8665,0.8932125,10.72,325.7433,0.8932125,,,,10.72,197.1753,0.8932375
10.73,233.0049,0.8940625,10.73,422.9228,0.8940875,10.73,419.5118,0.8940375,10.73,325.772,0.89405,,,,10.73,197.1944,0.894075
10.74,234.1588,0.8948875,10.74,423.584,0.894925,10.74,420.1603,0.8948625,10.74,325.7688,0.8948875,,,,10.74,197.2898,0.8949125
10.75,235.316,0.895725,10.75,424.2388,0.8957625,10.75,420.7897,0.8956875,10.75,325.772,0.895725,,,,10.75,197.3248,0.8957375
10.76,236.4476,0.8965625,10.76,424.9064,0.8965999,10.76,421.4033,0.896525,10.76,325.8228,0.8965625,,,,10.76,197.312,0.8965625
10.77,237.5793,0.8974125,10.77,425.5899,0.8974125,10.77,422.0295,0.89735,10.77,325.8737,0.8974,,,,10.77,197.347,0.897375
10.78,238.7269,0.89825,10.78,426.267,0.89825,10.78,422.6812,0.8982,10.78,325.9087,0.8982249,,,,10.78,197.4328,0.8982
10.79,239.8872,0.8991,10.79,426.9282,0.899075,10.79,423.336,0.8990375,10.79,325.9405,0.8990625,,,,10.79,197.4487,0.899025
10.8,241.0348,0.8999375,10.8,427.5894,0.8999,10.8,423.9718,0.8999,10.8,325.9691,0.8998875,,,,10.8,197.382,0.89985
10.81,242.1824,0.90075,10.81,428.2665,0.9007125,10.81,424.614,0.9007375,10.81,325.9913,0.9007125,,,,10.81,197.3756,0.9006875
10.82,243.3395,0.901575,10.82,428.9341,0.90155,10.82,425.2625,0.9015625,10.82,325.985,0.9015375,,,,10.82,197.4773,0.9015375
10.83,244.5094,0.902425,10.83,429.5762,0.9024,10.83,425.8982,0.9023875,10.83,325.9691,0.9023499,,,,10.83,197.5695,0.9023875
10.84,245.6888,0.90325,10.84,430.1929,0.90325,10.84,426.5308,0.903225,10.84,325.9595,0.9031875,,,,10.84,197.5791,0.903225
10.85,246.865,0.904075,10.85,430.8128,0.9041,10.85,427.1698,0.9040624,10.85,325.9564,0.904025,,,,10.85,197.5981,0.9040624
10.86,248.0412,0.9049125,10.86,431.455,0.9049375,10.86,427.812,0.9049,10.86,325.9468,0.9048625,,,,10.86,197.6903,0.9048875
10.87,249.2046,0.9057625,10.87,432.113,0.905775,10.87,428.4445,0.9057375,10.87,325.9405,0.9057125,,,,10.87,197.7507,0.9057125
10.88,250.3522,0.9065875,10.88,432.7838,0.9066,10.88,429.0644,0.906575,10.88,325.9564,0.9065624,,,,10.88,197.7285,0.9065624
10.89,251.4871,0.907425,10.89,433.4259,0.9074125,10.89,429.6875,0.9074,10.89,325.9659,0.9073875,,,,10.89,197.7094,0.9074
10.9,252.6251,0.90825,10.9,434.0363,0.9082625,10.9,430.3042,0.9082375,10.9,325.9691,0.9082125,,,,10.9,197.7603,0.9082375
10.91,253.7759,0.9090625,10.91,434.6371,0.9091,10.91,430.8828,0.909075,10.91,325.9913,0.9090375,,,,10.91,197.7952,0.909075
10.92,254.9299,0.9098875,10.92,435.2538,0.9099375,10.92,431.42,0.9099,10.92,326.0327,0.9098875,,,,10.92,197.7666,0.9099125
10.93,256.0711,0.9107125,10.93,435.8768,0.910775,10.93,431.9445,0.910725,10.93,326.0549,0.9107125,,,,10.93,197.7666,0.91075
10.94,257.2123,0.9115375,10.94,436.5031,0.9116125,10.94,432.4945,0.91155,10.94,326.0517,0.91155,,,,10.94,197.8811,0.9115875
10.95,258.3694,0.912375,10.95,437.1134,0.9124375,10.95,433.0921,0.9123625,10.95,326.0422,0.9123875,,,,10.95,198.0114,0.9124125
10.96,259.5266,0.9132125,10.96,437.7206,0.913275,10.96,433.6929,0.913175,10.96,326.0676,0.9132375,,,,10.96,198.0336,0.9132375
10.97,260.6424,0.91405,10.97,438.3151,0.9141,10.97,434.2747,0.9140125,10.97,326.1185,0.914075,,,,10.97,198.0241,0.9140625
10.98,261.7455,0.9149,10.98,438.9063,0.914925,10.98,434.8246,0.91485,10.98,326.1661,0.9149125,,,,10.98,198.0877,0.914875
10.99,262.8771,0.9157375,10.99,439.4881,0.9157375,10.99,435.3587,0.9156875,10.99,326.1916,0.9157375,,,,10.99,198.1735,0.9157125
11,264.0597,0.916575,11,440.0603,0.9165625,11,435.8991,0.9165375,11,326.2138,0.9165625,,,,11,198.1449,0.9165375
11.01,265.2518,0.9174,11.01,440.6262,0.9173875,11.01,436.4618,0.9173875,11.01,326.2424,0.917375,,,,11.01,198.075,0.917375
11.02,266.4216,0.918225,11.02,441.1666,0.9182125,11.02,437.0276,0.9182125,11.02,326.2647,0.9182125,,,,11.02,198.0941,0.9182125
11.03,267.5788,0.919075,11.03,441.6974,0.91905,11.03,437.5776,0.9190375,11.03,326.2679,0.919025,,,,11.03,198.1799,0.9190625
11.04,268.7232,0.9199125,11.04,442.2379,0.9199,11.04,438.1116,0.9198624,11.04,326.2679,0.9198624,,,,11.04,198.1958,0.9199
11.05,269.8294,0.92075,11.05,442.8037,0.9207375,11.05,438.6584,0.920725,11.05,326.2583,0.9207125,,,,11.05,198.1703,0.920725
11.06,270.9198,0.9216,11.06,443.3727,0.921575,11.06,439.2083,0.92155,11.06,326.2424,0.92155,,,,11.06,198.2244,0.9215625
11.07,272.0324,0.9224375,11.07,443.9449,0.9224125,11.07,439.7456,0.9223875,11.07,326.252,0.9223875,,,,11.07,198.3197,0.9223875
11.08,273.1832,0.923275,11.08,444.5108,0.92325,11.08,440.2637,0.923225,11.08,326.2997,0.923225,,,,11.08,198.3452,0.923225
11.09,274.3467,0.9241,11.09,445.0925,0.9240625,11.09,440.7692,0.9240749,11.09,326.3537,0.92405,,,,11.09,198.3166,0.9240749
11.1,275.4974,0.924925,11.1,445.6774,0.924925,11.1,441.2556,0.924925,11.1,326.3887,0.924875,,,,11.1,198.342,0.9249125
11.11,276.6387,0.92575,11.11,446.2655,0.9257625,11.11,441.7547,0.92575,11.11,326.4141,0.9256999,,,,11.11,198.4024,0.92575
11.12,277.7704,0.926575,11.12,446.825,0.9265875,11.12,442.2792,0.9265875,11.12,326.4554,0.9265375,,,,11.12,198.396,0.9265875
11.13,278.9116,0.9274,11.13,447.3591,0.9274375,11.13,442.8164,0.9274,11.13,326.4968,0.927375,,,,11.13,198.377,0.927425
11.14,280.0528,0.928225,11.14,447.8868,0.928275,11.14,443.3409,0.928225,11.14,326.5127,0.9282125,,,,11.14,198.4437,0.9282625
11.15,281.1813,0.92905,11.15,448.4272,0.9291125,11.15,443.8718,0.92905,11.15,326.5063,0.92905,,,,11.15,198.5645,0.9291
11.16,282.2876,0.929875,11.16,448.9835,0.9299375,11.16,444.3963,0.9298625,11.16,326.5158,0.9298875,,,,11.16,198.5995,0.929925
11.17,283.3939,0.9307375,11.17,449.5176,0.9307875,11.17,444.8922,0.9306875,11.17,326.5476,0.930725,,,,11.17,198.5741,0.93075
11.18,284.5001,0.931575,11.18,450.0294,0.9316,11.18,445.3405,0.9315374,11.18,326.5731,0.9315625,,,,11.18,198.609,0.9315625
11.19,285.6223,0.9324125,11.19,450.538,0.9324125,11.19,445.7855,0.9323875,11.19,326.5731,0.9324,,,,11.19,198.6853,0.9323875
11.2,286.7444,0.93325,11.2,451.0498,0.93325,11.2,446.2624,0.933225,11.2,326.5731,0.933225,,,,11.2,198.6853,0.933225
11.21,287.8698,0.934075,11.21,451.568,0.9340625,11.21,446.7519,0.9340625,11.21,326.5858,0.93405,,,,11.21,198.6345,0.9340625
11.22,289.0078,0.9349,11.22,452.1052,0.9348875,11.22,447.251,0.9349,11.22,326.6017,0.9348875,,,,11.22,198.6694,0.9349125
11.23,290.1554,0.9357375,11.23,452.6393,0.935725,11.23,447.7469,0.9357125,11.23,326.6017,0.9357,,,,11.23,198.7807,0.9357499
11.24,291.2808,0.9365875,11.24,453.1701,0.936575,11.24,448.2301,0.9365375,11.24,326.6017,0.936525,,,,11.24,198.8252,0.9365875
11.25,292.3775,0.937425,11.25,453.701,0.937425,11.25,448.7069,0.9373749,11.25,326.6271,0.9373875,,,,11.25,198.7902,0.937425
11.26,293.4742,0.9382625,11.26,454.2319,0.9382625,11.26,449.1774,0.938225,11.26,326.6525,0.9382375,,,,11.26,198.7966,0.9382375
11.27,294.5836,0.9391,11.27,454.7564,0.9390875,11.27,449.6193,0.93905,11.27,326.662,0.939075,,,,11.27,198.8824,0.9390625
11.28,295.7153,0.9399375,11.28,455.3032,0.9399125,11.28,450.0294,0.9399,11.28,326.6779,0.9399125,,,,11.28,198.9238,0.9399
11.29,296.8534,0.9407875,11.29,455.8595,0.9407375,11.29,450.4331,0.940725,11.29,326.7193,0.94075,,,,11.29,198.8856,0.940725
11.3,297.9755,0.9416125,11.3,456.384,0.941575,11.3,450.8686,0.9415625,11.3,326.7574,0.941575,,,,11.3,198.8856,0.94155
11.31,299.0977,0.9424375,11.31,456.8545,0.9424125,11.31,451.3423,0.9424,11.31,326.7733,0.9423875,,,,11.31,198.9841,0.9423875
11.32,300.223,0.9432625,11.32,457.3091,0.9432375,11.32,451.8445,0.943225,11.32,326.7956,0.943225,,,,11.32,199.0541,0.943225
11.33,301.3388,0.944075,11.33,457.7827,0.9440875,11.33,452.3246,0.9440625,11.33,326.8305,0.94405,,,,11.33,199.0477,0.9440625
11.34,302.4324,0.9449,11.34,458.2977,0.944925,11.34,452.7791,0.944875,11.34,326.8592,0.9448875,,,,11.34,199.0477,0.9449
11.35,303.4878,0.945725,11.35,458.8286,0.9457625,11.35,453.2083,0.9457,11.35,326.856,0.945725,,,,11.35,199.1081,0.945725
11.36,304.5495,0.946575,11.36,459.3563,0.9466,11.36,453.6057,0.946525,11.36,326.8305,0.94655,,,,11.36,199.124,0.94655
11.37,305.6399,0.9474375,11.37,459.849,0.9474249,11.37,454.0094,0.9473625,11.37,326.8083,0.9473875,,,,11.37,199.0477,0.947375
11.38,306.7557,0.948275,11.38,460.3259,0.9482625,11.38,454.4354,0.9482,11.38,326.8083,0.948225,,,,11.38,198.9969,0.9482
11.39,307.862,0.9491125,11.39,460.8059,0.949075,11.39,454.8645,0.9490375,11.39,326.8178,0.9490499,,,,11.39,199.0318,0.9490375
11.4,308.9492,0.949925,11.4,461.2859,0.9499,11.4,455.2778,0.9498875,11.4,326.8496,0.949875,,,,11.4,199.0573,0.949875
11.41,310.0268,0.95075,11.41,461.7437,0.950725,11.41,455.6878,0.950725,11.41,326.8751,0.9506875,,,,11.41,198.9969,0.9507125
11.42,311.1172,0.9515625,11.42,462.1728,0.9515625,11.42,456.1234,0.9515625,11.42,326.8814,0.951525,,,,11.42,198.9524,0.9515625
11.43,312.2171,0.9524125,11.43,462.6083,0.9524,11.43,456.5875,0.9523875,11.43,326.8814,0.95235,,,,11.43,199.0128,0.9524125
11.44,313.3106,0.9532375,11.44,463.0629,0.95325,11.44,457.0516,0.9532125,11.44,326.9005,0.9531875,,,,11.44,199.0891,0.95325
11.45,314.3851,0.954075,11.45,463.5493,0.9540875,11.45,457.4903,0.9540625,11.45,326.9418,0.954025,,,,11.45,199.1049,0.954075
11.46,315.4564,0.9549125,11.46,464.0547,0.954925,11.46,457.9004,0.954875,11.46,326.9545,0.9548874,,,,11.46,199.1208,0.9549
11.47,316.5213,0.9557375,11.47,464.5634,0.9557625,11.47,458.2946,0.9557125,11.47,326.9418,0.955725,,,,11.47,199.2099,0.955725
11.48,317.599,0.956575,11.48,465.0688,0.956575,11.48,458.6919,0.95655,11.48,326.9418,0.9565625,,,,11.48,199.2861,0.9565625
11.49,318.6639,0.9574125,11.49,465.5647,0.9574,11.49,459.102,0.9573874,11.49,326.9927,0.9574,,,,11.49,199.2607,0.9574125
11.5,319.7352,0.9582375,11.5,466.0352,0.95825,11.5,459.5121,0.958225,11.5,327.0562,0.958225,,,,11.5,199.2099,0.9582375
11.51,320.8033,0.9590625,11.51,466.4834,0.9590875,11.51,459.9221,0.9590625,11.51,327.1071,0.95905,,,,11.51,199.2543,0.959075
11.52,321.8683,0.9598875,11.52,466.9189,0.9599125,11.52,460.3195,0.9599,11.52,327.1484,0.9598875,,,,11.52,199.3465,0.9599125
11.53,322.9332,0.9607125,11.53,467.3576,0.96075,11.53,460.6883,0.9607125,11.53,327.1929,0.9607249,,,,11.53,199.3624,0.9607375
11.54,323.995,0.9615375,11.54,467.8091,0.9615875,11.54,461.0316,0.9615375,11.54,327.2279,0.9615625,,,,11.54,199.3275,0.961575
11.55,325.0376,0.962375,11.55,468.2573,0.962425,11.55,461.3908,0.962375,11.55,327.2343,0.9624,,,,11.55,199.3402,0.9624125
11.56,326.0581,0.9632249,11.56,468.696,0.96325,11.56,461.7659,0.9631875,11.56,327.212,0.9632375,,,,11.56,199.4006,0.9632375
11.57,327.0785,0.964075,11.57,469.1124,0.9640875,11.57,462.1378,0.9640125,11.57,327.1929,0.964075,,,,11.57,199.3974,0.9640625
11.58,328.118,0.964925,11.58,469.5098,0.9649125,11.58,462.5066,0.9648625,11.58,327.212,0.9649,,,,11.58,199.3529,0.9648875
11.59,329.1734,0.9657625,11.59,469.9357,0.96575,11.59,462.8817,0.9657125,11.59,327.2692,0.965725,,,,11.59,199.3561,0.9657
11.6,330.2161,0.9665875,11.6,470.3903,0.966575,11.6,463.2409,0.9665624,11.6,327.336,0.9665624,,,,11.6,199.3879,0.9665375
11.61,331.2461,0.9674125,11.61,470.8481,0.9674,11.61,463.5874,0.9674,11.61,327.3805,0.967375,,,,11.61,199.3561,0.9673875
11.62,332.2824,0.9682375,11.62,471.2931,0.968225,11.62,463.9562,0.9682375,11.62,327.3868,0.9682,,,,11.62,199.3052,0.968225
11.63,333.3378,0.9690875,11.63,471.7286,0.9690624,11.63,464.3472,0.9690624,11.63,327.3551,0.969025,,,,11.63,199.337,0.969075
11.64,334.4027,0.969925,11.64,472.1514,0.9699125,11.64,464.7414,0.969875,11.64,327.3201,0.96985,,,,11.64,199.426,0.9699125
11.65,335.4486,0.97075,11.65,472.5615,0.9707625,11.65,465.1133,0.9707125,11.65,327.3042,0.9706874,,,,11.65,199.4673,0.97075
11.66,336.4849,0.971575,11.66,472.9652,0.9716125,11.66,465.4789,0.9715625,11.66,327.3201,0.9715375,,,,11.66,199.4642,0.9715875
11.67,337.5212,0.972425,11.67,473.3849,0.9724375,11.67,465.8318,0.9723875,11.67,327.336,0.972375,,,,11.67,199.5087,0.9724
11.68,338.5449,0.97325,11.68,473.8204,0.9732625,11.68,466.1783,0.9732375,11.68,327.3455,0.9732125,,,,11.68,199.5977,0.9732375
11.69,339.5621,0.9740875,11.69,474.2559,0.9740875,11.69,466.5089,0.974075,11.69,327.371,0.97405,,,,11.69,199.5977,0.974075
11.7,340.5762,0.974925,11.7,474.6787,0.9749125,11.7,466.8299,0.9749125,11.7,327.4091,0.974875,,,,11.7,199.5182,0.9748999
11.71,341.5934,0.97575,11.71,475.0824,0.9757625,11.71,467.1542,0.9757375,11.71,327.4409,0.9757,,,,11.71,199.4928,0.97575
11.72,342.598,0.9765625,11.72,475.467,0.9765875,11.72,467.488,0.976575,11.72,327.4727,0.97655,,,,11.72,199.5595,0.9765875
11.73,343.593,0.9773875,11.73,475.8422,0.977425,11.73,467.8376,0.9774,11.73,327.5077,0.9773875,,,,11.73,199.5786,0.977425
11.74,344.5848,0.9782125,11.74,476.2459,0.9782625,11.74,468.1905,0.9782125,11.74,327.5426,0.978225,,,,11.74,199.5341,0.97825
11.75,345.5798,0.97905,11.75,476.6782,0.9791124,11.75,468.5243,0.9790375,11.75,327.5585,0.9790625,,,,11.75,199.5277,0.9790875
11.76,346.5811,0.9798875,11.76,477.1392,0.9799375,11.76,468.8358,0.9798625,11.76,327.5458,0.9799,,,,11.76,199.5945,0.9799
11.77,347.5698,0.9807374,11.77,477.5779,0.980775,11.77,469.1346,0.9807,11.77,327.5426,0.9807374,,,,11.77,199.6231,0.980725
11.78,348.5489,0.9815875,11.78,477.9879,0.9816,11.78,469.4494,0.9815375,11.78,327.5585,0.981575,,,,11.78,199.604,0.98155
11.79,349.5248,0.982425,11.79,478.3471,0.9824125,11.79,469.7609,0.9824,11.79,327.5776,0.9824125,,,,11.79,199.6136,0.982375
11.8,350.4944,0.9832625,11.8,478.6841,0.9832375,11.8,470.0692,0.9832375,11.8,327.5871,0.9832375,,,,11.8,199.6708,0.9832
11.81,351.4799,0.9840875,11.81,479.0243,0.9840625,11.81,470.3712,0.9840875,11.81,327.603,0.98405,,,,11.81,199.674,0.9840375
11.82,352.4971,0.9849125,11.82,479.3962,0.9849,11.82,470.705,0.9849125,11.82,327.638,0.984875,,,,11.82,199.6104,0.9848875
11.83,353.5271,0.9857625,11.83,479.7967,0.98575,11.83,471.0452,0.9857375,11.83,327.6634,0.9857,,,,11.83,199.5881,0.985725
11.84,354.5411,0.9865875,11.84,480.1718,0.9866,11.84,471.3631,0.9865625,11.84,327.6571,0.986525,,,,11.84,199.6644,0.9865625
11.85,355.5361,0.987425,11.85,480.5311,0.98745,11.85,471.6619,0.9874,11.85,327.6221,0.9873625,,,,11.85,199.7312,0.9874
11.86,356.5184,0.9882625,11.86,480.903,0.9882874,11.86,471.9575,0.9882375,11.86,327.6062,0.9882125,,,,11.86,199.7216,0.9882375
